director.id,director.gender,director.birth_year,director.birth_country,director.tf.movie_director
Director_11951,G1,1972.0,C46,1
Director_12073,G1,1906.0,C44,2
Director_12639,G1,1969.0,C7,1
Director_12693,G1,1976.0,C7,2
Director_12862,G1,1955.0,C12,6
Director_12871,G1,1979.0,C50,2
Director_13084,G1,1970.0,C28,1
Director_13101,G1,1956.0,C18,1
Director_13167,G1,1938.0,C17,3
Director_13269,G1,1930.0,C12,3
Director_13351,G1,1961.0,C55,8
Director_1746315,G2,1986.0,C7,1
Director_13406,G1,1949.0,C4,11
Director_13524,G1,1980.0,C1,1
Director_13789,G1,1973.0,C49,1
Director_1746648,G2,1971.0,C1,1
Director_14079,G1,1978.0,C1,1
Director_1746770,G2,1965.0,C1,2
Director_14247,G1,1935.0,C1,19
Director_14332,G1,1934.0,C53,1
Director_14334,G1,1965.0,C53,2
Director_14381,G1,1974.0,C1,1
Director_14433,G1,1976.0,C31,4
Director_14480,G1,1944.0,C53,1
Director_14535,G1,1949.0,C54,8
Director_14883,G1,1975.0,C4,2
Director_1747238,G2,1958.0,C25,5
Director_15243,G1,1970.0,C12,1
Director_15326,G1,1966.0,C7,2
Director_15861,G1,1900.0,C18,1
Director_1747544,G2,1940.0,C18,2
Director_15866,G1,1915.0,C4,1
Director_1747563,G2,1959.0,C8,1
Director_1747581,G2,1978.0,C7,1
Director_16146,G1,1957.0,C7,1
Director_16521,G1,1966.0,C21,4
Director_1748362,G2,1958.0,C13,2
Director_17021,G1,1978.0,C2,6
Director_17201,G1,1914.0,C64,1
Director_17262,G1,1985.0,C63,1
Director_17287,G1,1916.0,C60,25
Director_17322,G1,1961.0,C7,1
Director_17409,G1,1964.0,C60,7
Director_17490,G1,1961.0,C60,4
Director_17664,G1,1975.0,C26,1
Director_1748754,G2,1950.0,C40,15
Director_17738,G1,1979.0,C7,2
Director_17856,G1,1968.0,C2,1
Director_17910,G1,1970.0,C7,1
Director_17913,G1,1974.0,C28,4
Director_1748867,G2,1974.0,C28,3
Director_1748875,G2,1975.0,C26,1
Director_18023,G1,1964.0,C7,3
Director_18072,G1,1952.0,C65,1
Director_18099,G1,1973.0,C59,11
Director_18109,G1,1979.0,C18,1
Director_18379,G1,1930.0,C67,3
Director_18449,G1,1971.0,C60,1
Director_1749197,G2,1971.0,C7,1
Director_18708,G1,1964.0,C60,4
Director_18711,G1,1930.0,C60,9
Director_1749376,G2,1931.0,C19,6
Director_19443,G1,1977.0,C58,1
Director_19759,G1,1960.0,C62,2
Director_1749741,G2,1972.0,C38,1
Director_19892,G1,1968.0,C60,5
Director_1749815,G2,1971.0,C60,4
Director_20292,G1,1967.0,C7,4
Director_20664,G1,1943.0,C60,1
Director_20700,G1,1922.0,C53,1
Director_20889,G1,1978.0,C73,1
Director_20913,G1,1963.0,C1,5
Director_20953,G1,1966.0,C1,7
Director_20999,G1,1964.0,C17,2
Director_21045,G1,1978.0,C17,5
Director_21170,G1,1975.0,C40,2
Director_21237,G1,1963.0,C7,5
Director_21306,G1,1964.0,C1,1
Director_1750448,G2,1970.0,C38,6
Director_21645,G1,1924.0,C17,14
Director_21911,G1,1984.0,C7,1
Director_21927,G1,1936.0,C2,3
Director_21948,G1,1905.0,C4,9
Director_22096,G1,1983.0,C4,1
Director_22315,G1,1985.0,C7,2
Director_22316,G1,1976.0,C27,1
Director_1751008,G2,1970.0,C53,1
Director_22536,G1,1971.0,C1,1
Director_22744,G1,1970.0,C53,1
Director_22749,G1,1918.0,C1,15
Director_22766,G1,1957.0,C7,5
Director_22885,G1,1936.0,C7,6
Director_22886,G1,1956.0,C2,1
Director_22917,G1,1931.0,C53,3
Director_23191,G1,1970.0,C7,2
Director_23213,G1,1977.0,C26,1
Director_23279,G1,1958.0,C17,4
Director_23307,G1,1971.0,C7,1
Director_23353,G1,1943.0,C7,2
Director_23408,G1,1918.0,C7,30
Director_1751629,G2,1978.0,C1,1
Director_23613,G1,1962.0,C1,1
Director_23826,G1,1903.0,C23,8
Director_23978,G1,1932.0,C20,1
Director_24138,G1,1934.0,C75,1
Director_24217,G1,1904.0,C12,10
Director_24270,G1,1919.0,C17,2
Director_24315,G1,1948.0,C57,1
Director_24815,G1,1913.0,C26,1
Director_24968,G1,1964.0,C7,3
Director_25006,G1,1978.0,C7,1
Director_25009,G1,1959.0,C7,2
Director_1752463,G2,1974.0,C4,3
Director_25476,G1,1945.0,C4,10
Director_25479,G1,1963.0,C7,1
Director_25667,G1,1940.0,C18,3
Director_1752814,G2,1961.0,C141,1
Director_25683,G1,1928.0,C57,1
Director_25726,G1,1968.0,C7,1
Director_25738,G1,1971.0,C40,1
Director_25920,G1,1966.0,C7,1
Director_25930,G1,1976.0,C57,1
Director_26122,G1,1928.0,C17,2
Director_26372,G1,1964.0,C7,1
Director_26487,G1,1959.0,C18,9
Director_26488,G1,1931.0,C18,8
Director_26491,G1,1965.0,C18,11
Director_26542,G1,1912.0,C7,18
Director_26551,G1,1984.0,C53,1
Director_26614,G1,1889.0,C7,1
Director_26640,G1,1959.0,C7,3
Director_26957,G1,1971.0,C28,3
Director_27028,G1,1980.0,C7,1
Director_27069,G1,1944.0,C77,3
Director_27263,G1,1963.0,C1,1
Director_27590,G1,1989.0,C9,3
Director_27896,G1,1967.0,C60,2
Director_28074,G1,1941.0,C16,6
Director_28397,G1,1916.0,C7,1
Director_28467,G1,1985.0,C82,1
Director_28984,G1,1934.0,C7,19
Director_28987,G1,1977.0,C7,1
Director_29033,G1,1944.0,C7,2
Director_1754734,G2,1950.0,C7,8
Director_29198,G1,1981.0,C7,4
Director_29337,G1,1905.0,C44,7
Director_29338,G1,1916.0,C7,12
Director_29485,G1,1916.0,C72,2
Director_29587,G1,1953.0,C26,5
Director_29613,G1,1962.0,C26,3
Director_29762,G1,1958.0,C7,3
Director_30260,G1,1953.0,C7,1
Director_30393,G1,1935.0,C7,46
Director_30446,G1,1952.0,C53,1
Director_30452,G1,1978.0,C53,1
Director_30479,G1,1981.0,C7,2
Director_30681,G1,1970.0,C7,1
Director_30759,G1,1924.0,C2,10
Director_30963,G1,1961.0,C26,1
Director_31038,G1,1967.0,C10,2
Director_31084,G1,1944.0,C2,11
Director_31115,G1,1977.0,C7,2
Director_31296,G1,1900.0,C39,31
Director_31297,G1,1907.0,C2,22
Director_31606,G1,1981.0,C21,2
Director_31752,G1,1930.0,C1,1
Director_31766,G1,1959.0,C7,7
Director_31814,G1,1890.0,C17,1
Director_31848,G1,1949.0,C1,22
Director_32211,G1,1970.0,C1,1
Director_1756451,G2,1978.0,C7,1
Director_32231,G1,1966.0,C1,2
Director_32254,G1,1917.0,C53,3
Director_32501,G1,1934.0,C7,5
Director_33341,G1,1922.0,C7,18
Director_33367,G1,1971.0,C22,1
Director_33423,G1,1962.0,C4,2
Director_33553,G1,1958.0,C60,6
Director_33662,G1,1925.0,C7,43
Director_33799,G1,1901.0,C44,1
Director_33810,G1,1906.0,C7,2
Director_33820,G1,1946.0,C45,1
Director_34280,G1,1978.0,C1,1
Director_34412,G1,1978.0,C83,2
Director_34542,G1,1961.0,C4,2
Director_34751,G1,1976.0,C1,1
Director_34752,G1,1975.0,C1,1
Director_34780,G1,1974.0,C4,6
Director_1757767,G2,1976.0,C1,1
Director_34961,G1,1936.0,C7,1
Director_35092,G1,1970.0,C7,1
Director_35206,G1,1957.0,C71,1
Director_35274,G1,1975.0,C16,2
Director_35278,G1,1978.0,C10,4
Director_35444,G1,1975.0,C17,1
Director_35686,G1,1965.0,C2,4
Director_35828,G1,1952.0,C13,2
Director_35884,G1,1946.0,C2,5
Director_35918,G1,1954.0,C20,2
Director_35972,G1,1985.0,C32,1
Director_36011,G1,1934.0,C21,1
Director_1758624,G2,1961.0,C21,4
Director_1758660,G2,1971.0,C118,2
Director_1758663,G2,1977.0,C42,1
Director_36261,G1,1923.0,C7,14
Director_1758738,G2,1969.0,C17,1
Director_36306,G1,1899.0,C17,4
Director_36330,G1,1963.0,C17,1
Director_36591,G1,1969.0,C7,1
Director_1759017,G2,1973.0,C72,2
Director_36790,G1,1980.0,C7,2
Director_36810,G1,1981.0,C7,1
Director_36993,G1,1945.0,C17,9
Director_37064,G1,1910.0,C17,11
Director_37106,G1,1952.0,C24,8
Director_37114,G1,1972.0,C69,5
Director_1759362,G2,1937.0,C7,1
Director_37382,G1,1966.0,C85,4
Director_37510,G1,1933.0,C17,1
Director_37556,G1,1948.0,C26,8
Director_37599,G1,1962.0,C55,2
Director_37706,G1,1970.0,C16,1
Director_38019,G1,1929.0,C39,2
Director_38084,G1,1935.0,C17,1
Director_38136,G1,1939.0,C72,1
Director_38193,G1,1969.0,C1,4
Director_38493,G1,1955.0,C7,6
Director_1760136,G2,1963.0,C7,1
Director_38695,G1,1960.0,C4,2
Director_38999,G1,1917.0,C26,3
Director_39003,G1,1982.0,C7,2
Director_39183,G1,1971.0,C7,1
Director_39309,G1,1915.0,C76,7
Director_39311,G1,1923.0,C28,3
Director_39361,G1,1956.0,C28,1
Director_39367,G1,1934.0,C28,9
Director_39415,G1,1986.0,C7,1
Director_1760766,G2,1981.0,C7,1
Director_39812,G1,1959.0,C26,2
Director_1761022,G2,1964.0,C8,2
Director_39969,G1,1919.0,C18,7
Director_1761075,G2,1954.0,C7,10
Director_40028,G1,1945.0,C38,2
Director_40137,G1,1903.0,C72,6
Director_40282,G1,1973.0,C72,5
Director_40339,G1,1931.0,C6,5
Director_40522,G1,1943.0,C7,1
Director_40559,G1,1936.0,C40,1
Director_40577,G1,1977.0,C7,1
Director_40821,G1,1964.0,C7,7
Director_1761623,G2,1981.0,C24,2
Director_1761759,G2,1970.0,C26,1
Director_41349,G1,1973.0,C7,1
Director_41407,G1,1977.0,C18,2
Director_41462,G1,1929.0,C26,1
Director_41465,G1,1880.0,C7,6
Director_41648,G1,1980.0,C26,1
Director_1761968,G2,1954.0,C7,5
Director_41705,G1,1970.0,C7,1
Director_41847,G1,1965.0,C7,1
Director_41969,G1,1981.0,C7,1
Director_1762201,G2,1947.0,C7,2
Director_42112,G1,1923.0,C77,16
Director_42222,G1,1972.0,C7,1
Director_42244,G1,1920.0,C26,38
Director_42425,G1,1970.0,C7,9
Director_42426,G1,1965.0,C26,12
Director_42461,G1,1915.0,C7,1
Director_42701,G1,1964.0,C7,1
Director_42995,G1,1969.0,C7,10
Director_43158,G1,1983.0,C7,1
Director_43347,G1,1943.0,C18,7
Director_43420,G1,1973.0,C26,1
Director_43597,G1,1934.0,C65,11
Director_1763061,G2,1959.0,C65,1
Director_43992,G1,1971.0,C2,2
Director_44031,G1,1984.0,C55,1
Director_44058,G1,1972.0,C18,5
Director_44159,G1,1984.0,C30,3
Director_44260,G1,1961.0,C7,3
Director_1763725,G2,1939.0,C2,5
Director_44724,G1,1985.0,C10,1
Director_44905,G1,1964.0,C7,1
Director_44921,G1,1979.0,C7,4
Director_45124,G1,1971.0,C26,1
Director_1764095,G2,1951.0,C7,1
Director_45403,G1,1967.0,C20,2
Director_45451,G1,1940.0,C2,2
Director_45475,G1,1940.0,C89,3
Director_45753,G1,1942.0,C45,5
Director_45887,G1,1925.0,C18,2
Director_45891,G1,1939.0,C18,2
Director_45893,G1,1959.0,C2,1
Director_45896,G1,1927.0,C2,3
Director_45903,G1,1961.0,C2,1
Director_46047,G1,1959.0,C17,4
Director_46298,G1,1972.0,C7,4
Director_1764772,G2,1980.0,C7,1
Director_46345,G1,1977.0,C7,1
Director_46377,G1,1917.0,C7,1
Director_46533,G1,1951.0,C7,2
Director_1765194,G2,1956.0,C84,7
Director_46828,G1,1935.0,C57,16
Director_1765224,G2,1928.0,C7,1
Director_46900,G1,1943.0,C20,1
Director_46972,G1,1927.0,C7,6
Director_46997,G1,1975.0,C36,2
Director_47014,G1,1973.0,C24,1
Director_47123,G1,1955.0,C2,1
Director_47270,G1,1905.0,C39,2
Director_47397,G1,1917.0,C7,1
Director_47600,G1,1978.0,C4,1
Director_1765770,G2,1969.0,C7,2
Director_1765912,G2,1983.0,C2,1
Director_47897,G1,1914.0,C26,46
Director_47949,G1,1943.0,C2,12
Director_48049,G1,1977.0,C8,2
Director_48075,G1,1960.0,C13,11
Director_48340,G1,1917.0,C77,2
Director_48360,G1,1974.0,C7,1
Director_48378,G1,1986.0,C26,1
Director_48466,G1,1962.0,C53,3
Director_1766803,G2,1960.0,C110,6
Director_48572,G1,1946.0,C7,12
Director_48664,G1,1973.0,C7,4
Director_48722,G1,1929.0,C5,3
Director_48740,G1,1913.0,C44,58
Director_49070,G1,1951.0,C7,1
Director_49145,G1,1912.0,C7,6
Director_49434,G1,1937.0,C7,1
Director_49573,G1,1969.0,C92,1
Director_49574,G1,1926.0,C55,1
Director_49576,G1,1958.0,C7,2
Director_49680,G1,1858.0,C2,1
Director_49804,G1,1910.0,C17,2
Director_49834,G1,1898.0,C44,13
Director_49852,G1,1983.0,C7,3
Director_49895,G1,1947.0,C7,2
Director_49960,G1,1949.0,C7,2
Director_50045,G1,1972.0,C17,1
Director_50068,G1,1959.0,C20,6
Director_50223,G1,1934.0,C7,29
Director_50306,G1,1912.0,C17,24
Director_50554,G1,1971.0,C7,1
Director_50809,G1,1966.0,C32,2
Director_50815,G1,1942.0,C32,1
Director_51119,G1,1963.0,C35,2
Director_51324,G1,1953.0,C84,1
Director_51333,G1,1971.0,C2,1
Director_51383,G1,1964.0,C13,13
Director_51557,G1,1967.0,C7,7
Director_51646,G1,1878.0,C7,4
Director_1768383,G2,1954.0,C16,1
Director_1768649,G2,1963.0,C18,1
Director_52159,G1,1976.0,C7,1
Director_52189,G1,1987.0,C26,6
Director_52416,G1,1969.0,C26,1
Director_52578,G1,1940.0,C17,1
Director_52607,G1,1941.0,C26,40
Director_52759,G1,1929.0,C10,1
Director_53010,G1,1964.0,C66,1
Director_53084,G1,1973.0,C7,2
Director_53176,G1,1977.0,C21,1
Director_53190,G1,1959.0,C31,1
Director_53234,G1,1947.0,C13,2
Director_53312,G1,1935.0,C53,11
Director_53377,G1,1959.0,C7,9
Director_53434,G1,1971.0,C1,2
Director_53438,G1,1960.0,C13,7
Director_53631,G1,1926.0,C1,27
Director_53640,G1,1960.0,C1,1
Director_53754,G1,1934.0,C19,5
Director_53968,G1,1932.0,C53,7
Director_53993,G1,1937.0,C21,2
Director_54212,G1,1948.0,C21,1
Director_1769906,G2,1970.0,C66,3
Director_54441,G1,1937.0,C17,2
Director_54450,G1,1977.0,C7,1
Director_54451,G1,1971.0,C7,2
Director_54486,G1,1887.0,C7,47
Director_54520,G1,1955.0,C55,2
Director_54549,G1,1947.0,C2,15
Director_54563,G1,1941.0,C10,15
Director_54716,G1,1972.0,C72,5
Director_1770234,G2,1964.0,C7,1
Director_55036,G1,1961.0,C7,1
Director_55056,G1,1963.0,C10,1
Director_1770343,G2,1960.0,C17,10
Director_1770507,G2,1949.0,C2,1
Director_1770558,G2,1984.0,C7,1
Director_1770568,G2,1927.0,C26,2
Director_55586,G1,1943.0,C7,9
Director_55710,G1,1946.0,C18,9
Director_55862,G1,1953.0,C17,1
Director_56080,G1,1958.0,C72,2
Director_56143,G1,1949.0,C2,1
Director_56306,G1,1921.0,C26,1
Director_1771061,G2,1975.0,C17,4
Director_56350,G1,1940.0,C17,21
Director_56563,G1,1911.0,C26,2
Director_56790,G1,1956.0,C1,1
Director_56967,G1,1941.0,C4,11
Director_57155,G1,1936.0,C7,2
Director_57245,G1,1943.0,C55,11
Director_57292,G1,1943.0,C19,2
Director_57506,G1,1975.0,C17,1
Director_57547,G1,1956.0,C7,1
Director_57548,G1,1934.0,C7,4
Director_57553,G1,1937.0,C60,1
Director_57606,G1,1948.0,C7,16
Director_57704,G1,1901.0,C26,12
Director_57730,G1,1949.0,C7,1
Director_58036,G1,1949.0,C1,8
Director_58126,G1,1970.0,C7,1
Director_58220,G1,1966.0,C7,2
Director_58250,G1,1942.0,C7,7
Director_58286,G1,1927.0,C1,9
Director_58432,G1,1953.0,C26,1
Director_58465,G1,1965.0,C10,62
Director_1772387,G2,1973.0,C26,4
Director_1772390,G2,1950.0,C24,10
Director_58789,G1,1944.0,C26,3
Director_58900,G1,1893.0,C7,4
Director_58933,G1,1965.0,C7,1
Director_58956,G1,1946.0,C26,2
Director_59023,G1,1981.0,C1,4
Director_1772861,G2,1932.0,C7,8
Director_59461,G1,1945.0,C72,11
Director_59476,G1,1972.0,C4,1
Director_1772991,G2,1961.0,C26,6
Director_59761,G1,1916.0,C7,33
Director_59805,G1,1921.0,C9,1
Director_59916,G1,1967.0,C4,1
Director_59923,G1,1922.0,C7,3
Director_60217,G1,1969.0,C4,1
Director_60401,G1,1975.0,C17,1
Director_60445,G1,1969.0,C7,5
Director_60759,G1,1971.0,C7,2
Director_1773629,G2,1959.0,C7,2
Director_60790,G1,1932.0,C1,5
Director_60802,G1,1953.0,C21,5
Director_61054,G1,1958.0,C53,1
Director_61129,G1,1942.0,C1,1
Director_61297,G1,1967.0,C7,1
Director_61657,G1,1977.0,C20,2
Director_61764,G1,1962.0,C4,7
Director_61770,G1,1968.0,C60,3
Director_61807,G1,1936.0,C19,6
Director_61996,G1,1965.0,C34,5
Director_1774342,G2,1941.0,C7,26
Director_62214,G1,1946.0,C2,1
Director_62215,G1,1928.0,C2,1
Director_1774388,G2,1969.0,C72,2
Director_62253,G1,1971.0,C7,1
Director_62641,G1,1895.0,C18,5
Director_1774606,G2,1921.0,C8,1
Director_1774726,G2,1897.0,C7,19
Director_62952,G1,1906.0,C1,3
Director_63239,G1,1973.0,C13,1
Director_1775012,G2,1942.0,C250,1
Director_1775015,G2,1969.0,C26,1
Director_63255,G1,1982.0,C99,2
Director_63393,G1,1960.0,C7,3
Director_63456,G1,1975.0,C7,2
Director_1775239,G2,1978.0,C7,2
Director_63621,G1,1978.0,C1,2
Director_63665,G1,1978.0,C1,1
Director_63955,G1,1929.0,C7,13
Director_64175,G1,1971.0,C7,6
Director_1775610,G2,1969.0,C7,1
Director_64207,G1,1921.0,C7,17
Director_64466,G1,1919.0,C38,9
Director_64474,G1,1971.0,C7,1
Director_65084,G1,1987.0,C7,1
Director_65092,G1,1949.0,C100,2
Director_65243,G1,1932.0,C14,1
Director_65319,G1,1931.0,C60,6
Director_65324,G1,1921.0,C60,1
Director_65376,G1,1961.0,C60,1
Director_65386,G1,1956.0,C60,3
Director_65449,G1,1981.0,C10,2
Director_65614,G1,1950.0,C6,10
Director_65714,G1,1902.0,C26,38
Director_65788,G1,1971.0,C14,1
Director_65867,G1,1984.0,C4,1
Director_65881,G1,1955.0,C2,19
Director_66023,G1,1959.0,C21,5
Director_66050,G1,1908.0,C36,2
Director_1776801,G2,1981.0,C4,1
Director_66076,G1,1943.0,C12,5
Director_66137,G1,1983.0,C7,1
Director_66271,G1,1974.0,C2,1
Director_66291,G1,1930.0,C7,3
Director_66463,G1,1957.0,C46,4
Director_66515,G1,1923.0,C2,8
Director_66699,G1,1932.0,C60,19
Director_66772,G1,1961.0,C60,2
Director_66862,G1,1971.0,C101,5
Director_66960,G1,1977.0,C7,1
Director_1777384,G2,1973.0,C59,3
Director_67047,G1,1983.0,C7,4
Director_67208,G1,1965.0,C57,1
Director_67286,G1,1956.0,C53,1
Director_1777602,G2,1970.0,C32,1
Director_67517,G1,1976.0,C26,2
Director_67537,G1,1955.0,C24,1
Director_67686,G1,1887.0,C7,4
Director_67818,G1,1943.0,C7,1
Director_67883,G1,1955.0,C26,1
Director_68221,G1,1965.0,C22,5
Director_68239,G1,1987.0,C26,1
Director_68318,G1,1923.0,C26,12
Director_68328,G1,1979.0,C39,1
Director_68539,G1,1952.0,C26,12
Director_68568,G1,1972.0,C47,1
Director_68911,G1,1943.0,C2,1
Director_68809,G1,1954.0,C102,2
Director_68912,G1,1964.0,C40,3
Director_68948,G1,1950.0,C2,1
Director_1778441,G2,1928.0,C2,3
Director_69069,G1,1970.0,C7,1
Director_69074,G1,1962.0,C2,6
Director_69176,G1,1944.0,C2,1
Director_69205,G1,1952.0,C2,6
Director_69206,G1,1920.0,C2,8
Director_1778624,G2,1908.0,C2,8
Director_69441,G1,1985.0,C4,1
Director_69626,G1,1948.0,C72,18
Director_69652,G1,1970.0,C7,1
Director_1778832,G2,1958.0,C18,2
Director_69762,G1,1981.0,C7,4
Director_70229,G1,1937.0,C1,9
Director_70234,G1,1925.0,C87,5
Director_70417,G1,1938.0,C17,2
Director_70472,G1,1946.0,C4,2
Director_70519,G1,1947.0,C7,4
Director_70560,G1,1882.0,C26,1
Director_70698,G1,1971.0,C7,9
Director_70727,G1,1895.0,C7,1
Director_70796,G1,1974.0,C7,1
Director_70885,G1,1932.0,C26,9
Director_71041,G1,1901.0,C2,29
Director_71070,G1,1950.0,C2,1
Director_71156,G1,1952.0,C7,2
Director_71269,G1,1949.0,C24,5
Director_71302,G1,1926.0,C7,5
Director_71336,G1,1938.0,C17,2
Director_71345,G1,1932.0,C7,1
Director_71358,G1,1955.0,C24,1
Director_71396,G1,1968.0,C7,3
Director_71402,G1,1935.0,C21,7
Director_71482,G1,1965.0,C10,3
Director_71499,G1,1938.0,C17,37
Director_71543,G1,1952.0,C57,1
Director_71571,G1,1944.0,C57,1
Director_71658,G1,1980.0,C7,1
Director_71666,G1,1941.0,C73,3
Director_71667,G1,1915.0,C73,2
Director_71787,G1,1920.0,C7,20
Director_71881,G1,1928.0,C2,1
Director_71910,G1,1873.0,C7,3
Director_72021,G1,1908.0,C7,135
Director_72132,G1,1975.0,C105,1
Director_72198,G1,1952.0,C107,1
Director_72265,G1,1935.0,C7,22
Director_72330,G1,1969.0,C103,1
Director_72465,G1,1949.0,C7,9
Director_72590,G1,1963.0,C10,3
Director_72909,G1,1918.0,C72,17
Director_72930,G1,1932.0,C18,2
Director_72942,G1,1922.0,C7,2
Director_73058,G1,1969.0,C7,4
Director_73216,G1,1920.0,C55,14
Director_73354,G1,1913.0,C60,1
Director_1780987,G2,1961.0,C1,4
Director_73442,G1,1939.0,C26,1
Director_73576,G1,1968.0,C7,3
Director_1781158,G2,1978.0,C7,1
Director_73766,G1,1952.0,C10,1
Director_73923,G1,1977.0,C26,5
Director_74064,G1,1908.0,C7,1
Director_74087,G1,1961.0,C104,3
Director_74192,G1,1987.0,C1,1
Director_74215,G1,1925.0,C14,2
Director_74373,G1,1979.0,C7,1
Director_74425,G1,1970.0,C10,1
Director_74474,G1,1926.0,C1,1
Director_1781678,G2,1959.0,C21,2
Director_74574,G1,1922.0,C21,1
Director_74921,G1,1936.0,C1,2
Director_1781937,G2,1965.0,C2,4
Director_75268,G1,1950.0,C109,18
Director_75358,G1,1986.0,C110,1
Director_75605,G1,1957.0,C108,2
Director_75714,G1,1946.0,C9,6
Director_75864,G1,1935.0,C20,1
Director_75893,G1,1927.0,C20,6
Director_75984,G1,1951.0,C7,1
Director_76005,G1,1950.0,C19,3
Director_1782439,G2,1970.0,C7,7
Director_76139,G1,1969.0,C7,1
Director_76232,G1,1946.0,C55,9
Director_76246,G1,1963.0,C14,1
Director_76266,G1,1980.0,C7,1
Director_76317,G1,1917.0,C20,1
Director_76330,G1,1938.0,C20,2
Director_76515,G1,1948.0,C14,1
Director_76522,G1,1904.0,C23,1
Director_1782838,G2,1970.0,C7,1
Director_1783161,G2,1964.0,C4,1
Director_77585,G1,1924.0,C4,2
Director_77665,G1,1920.0,C4,4
Director_77827,G1,1983.0,C73,1
Director_77893,G1,1966.0,C7,6
Director_77903,G1,1958.0,C7,2
Director_77908,G1,1889.0,C7,89
Director_78013,G1,1928.0,C37,7
Director_78138,G1,1983.0,C76,1
Director_78260,G1,1928.0,C2,1
Director_78322,G1,1983.0,C7,1
Director_78402,G1,1880.0,C7,20
Director_78448,G1,1939.0,C26,33
Director_78560,G1,1983.0,C7,1
Director_78577,G1,1930.0,C16,18
Director_78625,G1,1981.0,C14,1
Director_78792,G1,1953.0,C113,9
Director_78962,G1,1937.0,C7,3
Director_1783957,G2,1969.0,C7,1
Director_78988,G1,1966.0,C2,3
Director_79222,G1,1946.0,C57,2
Director_79247,G1,1958.0,C2,1
Director_79394,G1,1950.0,C66,3
Director_79578,G1,1879.0,C7,4
Director_79991,G1,1962.0,C45,1
Director_80216,G1,1950.0,C2,4
Director_80230,G1,1962.0,C4,1
Director_80248,G1,1909.0,C8,2
Director_80271,G1,1983.0,C72,1
Director_80353,G1,1975.0,C7,6
Director_80413,G1,1922.0,C104,1
Director_80520,G1,1949.0,C4,14
