actor.id,actor.gender,actor.birth_year,actor.birth_country,actor.tf.movie_actor
Actor_2564617,G2,1961,C44,12
Actor_1394927,G1,1951,C12,23
Actor_1300368,G1,1957,C5,29
Actor_1329875,G1,1987,C2,3
Actor_627215,G1,1951,C2,43
Actor_307768,G1,1920,C2,46
Actor_2366150,G2,1977,C4,1
Actor_2598616,G2,1971,C2,6
Actor_32322,G1,1947,C35,15
Actor_681695,G1,1937,C12,2
Actor_434454,G1,1967,C2,8
Actor_2544282,G2,1951,C2,22
Actor_1768457,G2,1945,C31,8
Actor_800177,G1,1919,C12,2
Actor_1914329,G2,1982,C40,1
Actor_1561152,G1,1910,C2,21
Actor_219415,G1,1980,C58,1
Actor_2619211,G2,1981,C25,2
Actor_712696,G1,1962,C2,5
Actor_1000085,G1,1878,C5,8
Actor_125153,G1,1996,C2,15
Actor_2497807,G2,1947,C3,31
Actor_581501,G1,1971,C12,3
Actor_2165775,G2,1964,C25,2
Actor_2673581,G2,1958,C2,10
Actor_154584,G1,1977,C12,6
Actor_2261950,G2,1943,C2,1
Actor_2662902,G2,1977,C2,2
Actor_732354,G1,1967,C3,3
Actor_1468484,G1,1973,C22,2
Actor_1921674,G2,1946,C40,1
Actor_572301,G1,1938,C2,20
Actor_2589930,G2,1943,C2,10
Actor_791566,G1,1964,C9,17
Actor_135130,G1,1929,C84,9
Actor_2393206,G2,1979,C36,2
Actor_477935,G1,1989,C22,2
Actor_853615,G1,1948,C2,59
Actor_2167499,G2,1962,C2,4
Actor_91180,G1,1921,C69,5
Actor_334477,G1,1970,C19,1
Actor_1027862,G1,1975,C12,1
Actor_999548,G1,1883,C69,8
Actor_610029,G1,1967,C2,36
Actor_1449800,G1,1919,C13,4
Actor_1619609,G1,1969,C27,3
Actor_2699722,G2,1978,C3,4
Actor_1174564,G1,1969,C2,1
Actor_1931514,G2,1979,C2,35
Actor_495529,G1,1957,C4,3
Actor_147721,G1,1970,C2,5
Actor_2245132,G2,1946,C12,21
Actor_2256174,G2,1969,C2,1
Actor_1024461,G1,1960,C2,12
Actor_2406754,G2,1974,C36,2
Actor_1144541,G1,1963,C2,25
Actor_2437527,G2,1966,C3,14
Actor_296403,G1,1869,C2,20
Actor_1646933,G1,1956,C11,39
Actor_1499363,G1,1971,C2,69
Actor_2242571,G2,1976,C112,6
Actor_2063402,G2,1979,C2,8
Actor_1015843,G1,1946,C2,19
Actor_2135888,G2,1952,C40,5
Actor_2518183,G2,1979,C36,4
Actor_2245807,G2,1973,C35,1
Actor_101715,G1,1920,C70,42
Actor_2092824,G2,1972,C12,6
Actor_2336717,G2,1984,C2,12
Actor_830568,G1,1874,C2,44
Actor_1771499,G2,1965,C60,11
Actor_494546,G1,1906,C2,308
Actor_1408992,G1,1972,C25,10
Actor_2001921,G2,1895,C2,59
Actor_197935,G1,1981,C2,2
Actor_1551137,G1,1939,C10,5
Actor_1294350,G1,1972,C2,1
Actor_2682633,G2,1952,C12,3
Actor_594517,G1,1926,C2,3
Actor_2572261,G2,1986,C2,7
Actor_2665307,G2,1957,C2,3
Actor_1971118,G2,1974,C4,1
Actor_2200532,G2,1975,C22,5
Actor_294236,G1,1916,C2,75
Actor_900605,G1,1982,C10,6
Actor_192706,G1,1962,C2,8
Actor_1253273,G1,1974,C2,3
Actor_333140,G1,1983,C27,1
Actor_1006764,G1,1977,C2,2
Actor_368531,G1,1950,C3,1
Actor_2626227,G2,1960,C22,1
Actor_823817,G1,1968,C10,5
Actor_852634,G1,1972,C19,1
Actor_1325641,G1,1960,C43,1
Actor_2154872,G2,1921,C2,12
Actor_1076542,G1,1907,C2,2
Actor_1939715,G2,1980,C36,2
Actor_1946213,G2,1958,C2,17
Actor_1957072,G2,1979,C40,2
Actor_677371,G1,1944,C12,14
Actor_2534012,G2,1980,C39,2
Actor_788697,G1,1951,C2,37
Actor_2099456,G2,1913,C10,11
Actor_705011,G1,1986,C2,21
Actor_315340,G1,1975,C2,11
Actor_1414377,G1,1959,C22,8
Actor_877458,G1,1957,C2,8
Actor_626386,G1,1971,C20,4
Actor_1208206,G1,1973,C3,7
Actor_2009914,G2,1979,C9,2
Actor_1442008,G1,1912,C42,2
Actor_806492,G1,1961,C12,5
Actor_3429,G1,1985,C27,1
Actor_1311194,G1,1948,C2,44
Actor_1879951,G2,1972,C12,2
Actor_1725373,G1,1948,C12,16
Actor_1439268,G1,1982,C3,4
Actor_916800,G1,1892,C2,101
Actor_559241,G1,1924,C2,3
Actor_1446114,G1,1928,C70,13
Actor_1291957,G1,1947,C2,45
Actor_1078941,G1,1919,C2,14
Actor_1207567,G1,1963,C2,4
Actor_1058643,G1,1974,C12,1
Actor_1271207,G1,1928,C9,8
Actor_916833,G1,1945,C2,64
Actor_702410,G1,1979,C9,5
Actor_2434377,G2,1978,C12,2
Actor_1802793,G2,1974,C12,2
Actor_960352,G1,1970,C2,7
Actor_2586798,G2,1960,C2,1
Actor_598570,G1,1980,C2,2
Actor_1189526,G1,1969,C2,107
Actor_2079481,G2,1930,C4,7
Actor_308521,G1,1915,C2,9
Actor_1669327,G1,1951,C12,9
Actor_356575,G1,1954,C2,1
Actor_1898821,G2,1982,C2,5
Actor_2099967,G2,1978,C2,21
Actor_1009875,G1,1951,C2,35
Actor_571047,G1,1970,C2,28
Actor_1951297,G2,1954,C104,4
Actor_122214,G1,1963,C2,4
Actor_2211398,G2,1971,C4,7
Actor_474308,G1,1966,C2,31
Actor_1307277,G1,1937,C12,22
Actor_2602539,G2,1958,C2,16
Actor_1642403,G1,1982,C82,1
Actor_2450071,G2,1985,C2,14
Actor_1137792,G1,1981,C2,4
Actor_2265703,G2,1974,C40,4
Actor_1238670,G1,1889,C4,172
Actor_1506514,G1,1881,C2,21
Actor_812563,G1,1967,C2,12
Actor_1479818,G1,1920,C19,23
Actor_954123,G1,1973,C25,2
Actor_1907617,G2,1978,C2,2
Actor_1692815,G1,1967,C2,6
Actor_1045995,G1,1905,C67,1
Actor_647707,G1,1947,C13,8
Actor_1013510,G1,1943,C12,77
Actor_2069715,G2,1969,C3,1
Actor_768549,G1,1962,C107,32
Actor_450322,G1,1974,C12,6
Actor_400742,G1,1930,C2,2
Actor_2005402,G2,1954,C26,13
Actor_1782554,G2,1949,C69,7
Actor_2399310,G2,1977,C12,1
Actor_1274756,G1,1961,C35,4
Actor_163554,G1,1943,C4,11
Actor_879026,G1,1958,C9,14
Actor_1222333,G1,1899,C2,62
Actor_539844,G1,1964,C12,3
Actor_1098396,G1,1981,C2,8
Actor_142422,G1,1960,C2,14
Actor_1791774,G2,1963,C3,1
Actor_1969644,G2,1966,C2,28
Actor_462761,G1,1928,C12,19
Actor_663744,G1,1965,C12,15
Actor_2077258,G2,1967,C70,8
Actor_1607068,G1,1957,C2,3
Actor_549976,G1,1979,C36,2
Actor_1074240,G1,1886,C84,125
Actor_1077594,G1,1982,C40,1
Actor_1573853,G1,1940,C9,12
Actor_1042353,G1,1980,C4,1
Actor_1057514,G1,1906,C25,14
Actor_1695562,G1,1896,C2,152
Actor_1741282,G2,1969,C22,5
Actor_73785,G1,1883,C2,94
Actor_180698,G1,1958,C2,3
Actor_2362729,G2,1962,C10,26
Actor_32348,G1,1974,C2,13
Actor_1551142,G1,1946,C2,75
Actor_524822,G1,1946,C25,26
Actor_1738224,G1,1934,C25,1
Actor_1670524,G1,1961,C2,59
Actor_265761,G1,1973,C2,20
Actor_2083665,G2,1942,C10,12
Actor_2043855,G2,1973,C36,3
Actor_2392216,G2,1945,C14,7
Actor_2030210,G2,1976,C3,5
Actor_2560704,G2,1978,C12,1
Actor_915567,G1,1938,C2,12
Actor_2131455,G2,1895,C3,4
Actor_227783,G1,1971,C2,8
Actor_2467072,G2,1933,C2,24
Actor_987423,G1,1947,C40,4
Actor_21682,G1,1948,C40,1
Actor_649794,G1,1980,C82,4
Actor_2294559,G2,1970,C22,1
Actor_1260703,G1,1964,C4,26
Actor_2568106,G2,1952,C19,5
Actor_288756,G1,1882,C12,100
Actor_557424,G1,1898,C2,28
Actor_2638111,G2,1957,C40,3
Actor_2174309,G2,1876,C2,68
Actor_2413166,G2,1967,C9,4
Actor_878649,G1,1938,C2,73
Actor_2131578,G2,1939,C25,2
Actor_949595,G1,1978,C9,1
Actor_2089039,G2,1964,C2,13
Actor_361708,G1,1896,C2,150
Actor_2584990,G2,1979,C2,3
Actor_1254366,G1,1941,C10,55
Actor_706819,G1,1936,C69,2
Actor_802024,G1,1935,C2,21
Actor_2222047,G2,1967,C40,2
Actor_617200,G1,1976,C2,41
Actor_1398507,G1,1896,C10,68
Actor_2015393,G2,1985,C36,1
Actor_537691,G1,1960,C35,1
Actor_2644891,G2,1960,C12,3
Actor_2127204,G2,1961,C2,24
Actor_1212786,G1,1970,C5,16
Actor_1326955,G1,1887,C12,20
Actor_1426121,G1,1971,C69,6
Actor_2553301,G2,1947,C36,8
Actor_1982456,G2,1937,C10,13
Actor_2070681,G2,1963,C39,12
Actor_1903777,G2,1982,C2,1
Actor_952477,G1,1931,C9,5
Actor_573588,G1,1938,C40,7
Actor_1099524,G1,1969,C53,5
Actor_1200661,G1,1976,C3,1
Actor_2445601,G2,1981,C36,1
Actor_1443638,G1,1885,C31,9
Actor_869730,G1,1941,C2,1
Actor_1438051,G1,1989,C40,1
Actor_2131949,G2,1969,C3,2
Actor_1392565,G1,1973,C18,9
Actor_1281036,G1,1947,C2,1
Actor_22885,G1,1936,C2,41
Actor_1152067,G1,1956,C10,57
Actor_2300290,G2,1951,C2,43
Actor_2517830,G2,1981,C2,3
Actor_1423475,G1,1989,C2,3
Actor_1609974,G1,1971,C35,29
Actor_2445208,G2,1971,C2,18
Actor_808545,G1,1973,C2,1
Actor_1656251,G1,1950,C2,4
Actor_1186030,G1,1924,C28,7
Actor_97846,G1,1971,C12,13
Actor_1928596,G2,1961,C2,32
Actor_1892152,G2,1968,C2,2
Actor_1968408,G2,1946,C12,4
Actor_629182,G1,1923,C2,3
Actor_1638733,G1,1959,C2,3
Actor_2433561,G2,1922,C5,90
Actor_313739,G1,1940,C2,51
Actor_1117609,G1,1949,C12,1
Actor_1876945,G2,1978,C5,17
Actor_2192306,G2,1933,C12,1
Actor_2454033,G2,1988,C9,1
Actor_135647,G1,1905,C10,23
Actor_1038923,G1,1907,C2,42
Actor_177385,G1,1976,C4,1
Actor_300354,G1,1962,C2,1
Actor_2073663,G2,1961,C9,7
Actor_2547407,G2,1942,C12,3
Actor_2186505,G2,1983,C12,2
Actor_2089579,G2,1989,C12,1
Actor_1340856,G1,1967,C10,4
Actor_2333575,G2,1986,C2,3
Actor_2175410,G2,1962,C2,6
Actor_2157669,G2,1940,C2,6
Actor_1871288,G2,1974,C40,5
Actor_2443462,G2,1926,C2,12
Actor_1406339,G1,1896,C2,171
Actor_754390,G1,1972,C2,27
Actor_2651747,G2,1949,C2,4
Actor_2487426,G2,1927,C2,35
Actor_2502950,G2,1943,C60,1
Actor_990705,G1,1973,C18,1
Actor_755889,G1,1908,C2,41
Actor_1595977,G1,1974,C60,1
Actor_631895,G1,1962,C12,20
Actor_739673,G1,1935,C10,30
Actor_523313,G1,1958,C2,9
Actor_508954,G1,1981,C36,9
Actor_1843117,G2,1983,C12,3
Actor_150968,G1,1937,C227,6
Actor_1374045,G1,1915,C31,22
Actor_2006928,G2,1948,C10,13
Actor_1791133,G2,1945,C2,29
Actor_2069223,G2,1973,C40,6
Actor_2039474,G2,1967,C2,25
Actor_1356095,G1,1992,C36,1
Actor_2335751,G2,1947,C2,10
Actor_2061346,G2,1916,C2,60
Actor_2570614,G2,1987,C9,4
Actor_971689,G1,1901,C2,99
Actor_2371775,G2,1932,C40,4
Actor_1072520,G1,1985,C2,3
Actor_692863,G1,1937,C10,14
Actor_1984076,G2,1978,C12,1
Actor_982041,G1,1926,C2,18
Actor_968449,G1,1923,C2,8
Actor_791831,G1,1889,C3,6
Actor_32310,G1,1970,C2,7
Actor_1017773,G1,1961,C4,15
Actor_1240156,G1,1933,C2,4
Actor_1272290,G1,1969,C70,4
Actor_2291402,G2,1937,C12,39
Actor_2098567,G2,1970,C2,2
Actor_478068,G1,1966,C2,1
Actor_2200456,G2,1971,C44,7
Actor_2602578,G2,1929,C36,5
Actor_2037933,G2,1910,C2,23
Actor_2384540,G2,1928,C14,4
Actor_1804182,G2,1872,C12,33
Actor_2057617,G2,1961,C40,1
Actor_904718,G1,1926,C2,82
Actor_588243,G1,1932,C12,2
Actor_481644,G1,1969,C35,2
Actor_214996,G1,1921,C2,22
Actor_1378598,G1,1958,C3,1
Actor_2079236,G2,1934,C2,22
Actor_221895,G1,1980,C43,7
Actor_679237,G1,1922,C2,3
Actor_1691614,G1,1937,C2,19
Actor_1172614,G1,1972,C12,3
Actor_1422951,G1,1945,C2,2
Actor_1392937,G1,1891,C10,1
Actor_2049161,G2,1960,C10,1
Actor_1086528,G1,1938,C2,19
Actor_56535,G1,1948,C3,2
Actor_1036286,G1,1938,C2,7
Actor_674571,G1,1924,C12,13
Actor_2173647,G2,1940,C2,34
Actor_30238,G1,1965,C2,1
Actor_1542766,G1,1962,C25,3
Actor_2509210,G2,1973,C70,5
Actor_2182970,G2,1964,C2,1
Actor_2672586,G2,1980,C2,10
Actor_1866052,G2,1941,C26,1
Actor_57945,G1,1961,C12,3
Actor_693602,G1,1944,C2,10
Actor_1691664,G1,1949,C22,1
Actor_1414312,G1,1979,C12,3
Actor_1831560,G2,1926,C47,2
Actor_235663,G1,1952,C36,10
Actor_2460688,G2,1978,C3,2
Actor_1632278,G1,1956,C10,1
Actor_1817781,G2,1973,C2,2
Actor_2365527,G2,1943,C12,1
Actor_877345,G1,1936,C5,38
Actor_212449,G1,1942,C12,1
Actor_1847661,G2,1927,C12,15
Actor_2257048,G2,1938,C31,17
Actor_458897,G1,1958,C18,46
Actor_595540,G1,1940,C4,9
Actor_362973,G1,1955,C35,7
Actor_991389,G1,1929,C2,13
Actor_1984874,G2,1954,C9,11
Actor_1444071,G1,1947,C2,9
Actor_1153025,G1,1959,C11,2
Actor_928937,G1,1960,C3,14
Actor_1144694,G1,1968,C12,2
Actor_144157,G1,1920,C12,31
Actor_1514237,G1,1938,C2,6
Actor_176320,G1,1935,C2,61
Actor_942880,G1,1901,C2,34
Actor_2222896,G2,1944,C5,55
Actor_2051674,G2,1888,C2,18
Actor_649823,G1,1959,C2,31
Actor_1261141,G1,1980,C14,11
Actor_1366046,G1,1940,C14,46
Actor_1443718,G1,1924,C2,1
Actor_524696,G1,1967,C12,4
Actor_1446716,G1,1955,C31,2
Actor_528276,G1,1964,C40,9
Actor_250764,G1,1957,C2,54
Actor_1302578,G1,1891,C5,26
Actor_2339435,G2,1931,C66,42
Actor_1338641,G1,1944,C12,20
Actor_2218271,G2,1911,C2,4
Actor_2426075,G2,1931,C14,22
Actor_992979,G1,1976,C3,4
Actor_1060336,G1,1916,C5,14
Actor_2646820,G2,1989,C2,7
Actor_1457670,G1,1914,C2,13
Actor_790101,G1,1949,C10,6
Actor_214270,G1,1970,C2,4
Actor_33662,G1,1925,C2,11
Actor_126958,G1,1965,C12,21
Actor_512050,G1,1982,C2,2
Actor_248534,G1,1983,C2,3
Actor_815168,G1,1947,C2,17
Actor_1804450,G2,1970,C3,3
Actor_223566,G1,1966,C2,27
Actor_2061548,G2,1985,C2,1
Actor_1232713,G1,1967,C36,3
Actor_1746315,G2,1986,C2,8
Actor_2242898,G2,1904,C69,8
Actor_2588048,G2,1928,C5,21
Actor_1086937,G1,1952,C2,2
Actor_467120,G1,1909,C2,74
Actor_1893703,G2,1973,C2,13
Actor_2700237,G2,1964,C103,5
Actor_411181,G1,1913,C12,17
Actor_2026943,G2,1926,C10,14
Actor_313932,G1,1951,C2,9
Actor_1589668,G1,1970,C10,5
Actor_1243867,G1,1983,C35,1
Actor_629665,G1,1933,C60,10
Actor_2666659,G2,1977,C44,1
Actor_1962108,G2,1951,C36,4
Actor_2150191,G2,1985,C3,1
Actor_2181812,G2,1922,C24,1
Actor_1663219,G1,1901,C2,101
Actor_507963,G1,1939,C12,53
Actor_841219,G1,1941,C19,37
Actor_2012520,G2,1964,C2,4
Actor_1868283,G2,1982,C13,2
Actor_949352,G1,1928,C44,33
Actor_547119,G1,1947,C2,13
Actor_508267,G1,1969,C9,8
Actor_1002843,G1,1918,C2,9
Actor_494555,G1,1959,C2,1
Actor_2304798,G2,1915,C2,32
Actor_2024545,G2,1951,C36,4
Actor_846846,G1,1922,C9,61
Actor_2116629,G2,1917,C2,36
Actor_2454579,G2,1980,C2,2
Actor_1147844,G1,1955,C2,31
Actor_335433,G1,1939,C12,9
Actor_543508,G1,1973,C40,1
Actor_1349467,G1,1960,C14,16
Actor_1628465,G1,1960,C22,1
Actor_2062612,G2,1956,C2,5
Actor_677696,G1,1940,C2,1
Actor_428645,G1,1936,C12,16
Actor_2403879,G2,1966,C39,7
Actor_2525035,G2,1935,C2,6
Actor_125584,G1,1970,C2,5
Actor_330840,G1,1924,C2,9
Actor_570718,G1,1985,C44,1
Actor_2225885,G2,1926,C2,83
Actor_1916101,G2,1958,C40,3
Actor_768403,G1,1985,C12,3
Actor_348906,G1,1946,C12,37
Actor_2536852,G2,1963,C19,4
Actor_1395589,G1,1911,C10,6
Actor_1212449,G1,1902,C43,1
Actor_1306541,G1,1976,C2,9
Actor_847665,G1,1991,C10,4
Actor_1979968,G2,1945,C44,1
Actor_1350122,G1,1924,C2,21
Actor_2687921,G2,1930,C2,25
Actor_1945319,G2,1987,C2,4
Actor_2076401,G2,1962,C245,15
Actor_2084074,G2,1926,C9,6
Actor_1548914,G1,1949,C9,27
Actor_2238549,G2,1914,C2,5
Actor_490166,G1,1967,C12,8
Actor_1744778,G2,1955,C5,43
Actor_2590416,G2,1977,C40,1
Actor_412529,G1,1929,C5,19
Actor_13177,G1,1920,C40,6
Actor_2623553,G2,1984,C35,2
Actor_2189649,G2,1972,C10,4
Actor_2460981,G2,1946,C31,6
Actor_1129245,G1,1923,C44,70
Actor_599375,G1,1963,C2,14
Actor_716859,G1,1967,C70,1
Actor_1564668,G1,1938,C110,13
Actor_632172,G1,1961,C2,5
Actor_2143025,G2,1957,C12,1
Actor_917264,G1,1959,C4,9
Actor_1179108,G1,1944,C69,4
Actor_2041098,G2,1966,C3,1
Actor_1156878,G1,1959,C2,2
Actor_1079943,G1,1931,C2,36
Actor_256407,G1,1973,C2,3
Actor_17573,G1,1936,C60,7
Actor_2410484,G2,1970,C12,2
Actor_1801817,G2,1966,C149,8
Actor_657754,G1,1945,C10,4
Actor_93770,G1,1949,C2,13
Actor_698411,G1,1944,C2,30
Actor_416380,G1,1914,C2,8
Actor_1557544,G1,1965,C14,1
Actor_1406190,G1,1905,C2,17
Actor_2628513,G2,1966,C2,6
Actor_501585,G1,1910,C2,73
Actor_1679129,G1,1979,C71,2
Actor_384696,G1,1895,C2,188
Actor_980800,G1,1935,C2,37
Actor_237440,G1,1943,C36,12
Actor_501271,G1,1967,C36,4
Actor_1320698,G1,1936,C2,47
Actor_298787,G1,1925,C12,41
Actor_2394437,G2,1976,C114,6
Actor_510534,G1,1930,C3,73
Actor_2240907,G2,1963,C42,1
Actor_1670654,G1,1951,C12,11
Actor_322911,G1,1976,C12,9
Actor_1591283,G1,1945,C70,29
Actor_482786,G1,1974,C36,1
Actor_458088,G1,1959,C40,4
Actor_863066,G1,1927,C12,1
Actor_1540412,G1,1980,C40,1
Actor_2594494,G2,1981,C165,1
Actor_1087914,G1,1968,C43,1
Actor_1935732,G2,1908,C2,107
Actor_1141540,G1,1979,C40,1
Actor_21113,G1,1973,C3,1
Actor_1564541,G1,1920,C19,52
Actor_737290,G1,1970,C12,5
Actor_201155,G1,1970,C31,9
Actor_1471788,G1,1957,C5,45
Actor_686240,G1,1949,C70,1
Actor_967897,G1,1970,C9,4
Actor_2375157,G2,1972,C14,5
Actor_1632208,G1,1913,C10,27
Actor_737208,G1,1942,C52,14
Actor_1673052,G1,1922,C2,47
Actor_1182714,G1,1938,C2,1
Actor_2248785,G2,1916,C16,31
Actor_210080,G1,1974,C2,3
Actor_896288,G1,1940,C12,34
Actor_133768,G1,1963,C12,2
Actor_2362612,G2,1983,C40,2
Actor_1499604,G1,1977,C9,11
Actor_1700626,G1,1951,C2,2
Actor_1221456,G1,1931,C2,25
Actor_740497,G1,1958,C10,7
Actor_2327365,G2,1939,C12,9
Actor_1053041,G1,1968,C3,6
Actor_1167975,G1,1932,C2,15
Actor_1019093,G1,1953,C12,1
Actor_686900,G1,1940,C12,5
Actor_1470037,G1,1926,C2,33
Actor_1566457,G1,1983,C2,6
Actor_1780640,G2,1974,C25,7
Actor_710270,G1,1957,C3,1
Actor_2223909,G2,1959,C12,15
Actor_687297,G1,1931,C12,14
Actor_2246593,G2,1968,C2,38
Actor_1748105,G2,1969,C12,7
Actor_1564278,G1,1983,C44,3
Actor_2401043,G2,1947,C2,3
Actor_1803831,G2,1963,C19,3
Actor_2178373,G2,1948,C2,18
Actor_367785,G1,1967,C66,8
Actor_1767737,G2,1976,C2,3
Actor_1233560,G1,1977,C3,1
Actor_1069114,G1,1930,C31,31
Actor_988764,G1,1977,C3,7
Actor_1341785,G1,1942,C2,50
Actor_1406304,G1,1992,C40,1
Actor_694875,G1,1974,C40,1
Actor_1814543,G2,1962,C22,1
Actor_1083762,G1,1946,C2,26
Actor_2168958,G2,1892,C10,20
Actor_2547943,G2,1964,C5,19
Actor_225354,G1,1939,C2,33
Actor_1368599,G1,1958,C40,31
Actor_2588321,G2,1966,C2,5
Actor_1632605,G1,1896,C47,21
Actor_2399616,G2,1968,C12,3
Actor_643855,G1,1948,C9,53
Actor_57664,G1,1987,C2,1
Actor_1605081,G1,1988,C22,1
Actor_795267,G1,1959,C9,13
Actor_1362169,G1,1946,C2,3
Actor_211019,G1,1908,C2,21
Actor_2078007,G2,1942,C47,25
Actor_1439503,G1,1896,C67,88
Actor_2256202,G2,1967,C3,8
Actor_1513706,G1,1947,C2,16
