neighborhoods.neighbourhood_cleansed,neighborhoods.neighbourhood_group_cleansed,neighborhoods.state,neighborhoods.country,neighborhoods.neighborhood_id,neighborhoods.tf_listings.neighborhood_id
1724,C63,S461,C2,3278,370
295,C0,S115,C10,5251,1
722,C0,S130,C2,1259,110
404,C0,S44,C2,824,313
1011,C0,S44,C2,1782,99
1332,C0,S269,C12,2206,1601
1957,C0,S44,C2,4124,28
1245,C0,S259,C10,2086,54
1220,C0,S259,C10,2045,156
217,C3,S63,C7,489,14
217,C3,S62,C7,4042,2
108,C2,S64,C7,246,24
528,C10,S62,C7,997,3
510,C8,S63,C7,961,10
258,C7,S63,C7,563,31
226,C4,S63,C7,514,5
1557,C12,S63,C7,3061,4
1884,C18,S63,C7,3724,6
559,C12,S63,C7,1050,4
257,C7,S62,C7,2916,12
219,C0,S119,C7,492,58
519,C0,S119,C7,973,6
219,C0,S118,C7,491,20
823,C36,S198,C7,1442,194
219,C0,S121,C7,495,2
824,C37,S198,C7,1451,216
237,C0,S119,C7,531,1
539,C0,S118,C7,1013,1
220,C0,S119,C7,498,1
501,C0,S121,C7,936,1
502,C0,S118,C7,941,2
238,C0,S119,C7,532,12
249,C0,S111,C9,546,3
210,C0,S111,C9,2847,1
239,C0,S110,C9,533,48
244,C0,S110,C9,541,94
1055,C0,S243,C9,1839,1383
1055,C0,S244,C9,1840,71
198,C0,S111,C9,454,13
295,C0,S114,C10,614,9
250,C0,S114,C10,550,47
253,C0,S113,C10,555,59
255,C0,S113,C10,559,11
116,C2,S64,C7,1103,15
117,C2,S64,C7,3019,12
518,C7,S62,C7,3024,2
532,C11,S63,C7,1003,30
118,C2,S64,C7,252,32
550,C13,S64,C7,3765,7
257,C7,S64,C7,2917,6
262,C3,S64,C7,4565,4
548,C7,S62,C7,1037,4
530,C10,S62,C7,2925,4
218,C3,S62,C7,2922,5
259,C3,S64,C7,2929,2
259,C3,S62,C7,565,5
260,C3,S63,C7,566,5
1505,C8,S63,C7,2911,13
251,C0,S113,C10,552,136
251,C0,S114,C10,553,77
269,C0,S113,C10,584,26
253,C0,S114,C10,556,20
272,C0,S113,C10,589,10
269,C0,S114,C10,585,12
287,C0,S130,C2,604,18
604,C0,S130,C2,1124,126
376,C0,S44,C2,795,82
451,C0,S44,C2,873,43
1569,C0,S130,C2,3110,1
294,C0,S113,C10,611,60
314,C0,S27,C3,655,16
315,C0,S27,C3,658,48
315,C0,S28,C3,2387,12
21,C0,S582,C3,3931,1
321,C0,S145,C4,677,17
322,C0,S27,C3,682,19
320,C0,S28,C3,687,13
325,C0,S27,C3,696,17
197,C0,S27,C3,449,9
327,C0,S27,C3,705,21
329,C0,S42,C4,711,49
330,C0,S42,C4,712,5
331,C0,S42,C4,713,38
332,C0,S42,C4,714,4
336,C0,S42,C4,720,8
321,C0,S42,C4,678,76
337,C0,S20,C2,723,21
1369,C0,S20,C2,2339,19
339,C0,S20,C2,725,22
341,C0,S20,C2,727,49
342,C0,S153,C11,731,31
355,C0,S153,C11,753,1
1872,C0,S153,C11,3621,2
1448,C0,S153,C11,2661,2
2339,C0,S153,C11,6645,1
353,C0,S153,C11,750,1
678,C34,S183,C14,1209,126
168,C0,S51,C3,5338,1
363,C0,S51,C3,2655,4
303,C0,S57,C5,625,1
372,C0,S44,C2,791,4
373,C0,S44,C2,792,67
375,C0,S44,C2,794,63
386,C0,S44,C2,805,224
448,C0,S44,C2,870,129
413,C0,S44,C2,835,2
378,C0,S44,C2,797,10
1503,C0,S44,C2,2908,5
392,C0,S44,C2,811,13
380,C0,S44,C2,799,17
381,C0,S44,C2,800,90
387,C0,S44,C2,806,27
390,C0,S44,C2,809,141
391,C0,S44,C2,810,17
395,C0,S44,C2,814,170
396,C0,S44,C2,816,133
398,C0,S44,C2,818,11
401,C0,S44,C2,821,9
493,C0,S44,C2,916,35
485,C0,S44,C2,908,54
400,C0,S44,C2,820,45
402,C0,S44,C2,822,28
403,C0,S44,C2,823,36
962,C0,S44,C2,1730,58
483,C0,S44,C2,906,18
993,C0,S44,C2,1763,235
956,C0,S44,C2,1724,19
991,C0,S44,C2,1761,60
992,C0,S44,C2,1762,27
405,C0,S44,C2,825,145
980,C0,S44,C2,1750,88
459,C0,S44,C2,881,61
423,C0,S44,C2,845,357
429,C0,S44,C2,851,128
975,C0,S44,C2,1745,108
422,C0,S44,C2,844,148
408,C0,S44,C2,830,86
989,C0,S44,C2,1759,33
984,C0,S44,C2,1754,31
34,C0,S44,C2,826,23
163,C0,S44,C2,828,38
474,C0,S44,C2,897,28
407,C0,S44,C2,829,233
478,C0,S44,C2,901,69
409,C0,S44,C2,831,56
414,C0,S44,C2,836,8
416,C0,S44,C2,838,11
477,C0,S44,C2,900,22
1516,C0,S44,C2,2938,8
1646,C0,S20,C2,6366,1
425,C0,S44,C2,847,92
959,C0,S44,C2,1727,21
1912,C0,S44,C2,3877,5
428,C0,S44,C2,850,35
113,C0,S44,C2,243,13
433,C0,S44,C2,855,38
439,C0,S44,C2,861,92
111,C0,S44,C2,241,13
450,C0,S44,C2,872,18
388,C0,S44,C2,807,43
453,C0,S44,C2,875,3
456,C0,S44,C2,878,45
468,C0,S44,C2,890,54
457,C0,S44,C2,879,7
484,C0,S44,C2,907,12
1512,C0,S44,C2,2934,6
1697,C64,S461,C2,3248,29
470,C0,S44,C2,892,4
476,C0,S44,C2,899,36
479,C0,S44,C2,902,31
486,C0,S44,C2,909,47
110,C0,S44,C2,240,34
490,C0,S44,C2,913,39
1344,C0,S269,C12,2228,521
492,C0,S44,C2,915,8
397,C0,S44,C2,817,10
502,C0,S119,C7,939,5
238,C0,S118,C7,1026,6
503,C0,S170,C7,2882,1
523,C0,S118,C7,988,2
572,C0,S119,C7,1067,2
523,C0,S1091,C7,5981,1
503,C0,S119,C7,942,1
573,C0,S119,C7,1076,2
801,C0,S188,C15,1394,294
884,C0,S188,C15,1587,501
511,C8,S63,C7,962,11
513,C9,S64,C7,965,2
519,C0,S121,C7,975,1
527,C8,S63,C7,996,10
571,C18,S62,C7,1065,1
534,C11,S63,C7,1005,2
570,C18,S63,C7,1064,7
1884,C18,S62,C7,5184,2
577,C21,S63,C7,1080,6
579,C22,S64,C7,1082,1
583,C0,S111,C9,1089,4
583,C0,S110,C9,1090,9
1059,C0,S243,C9,1846,16
1297,C0,S243,C9,2159,15
1478,C0,S111,C9,2809,1
582,C0,S110,C9,1087,16
1297,C0,S244,C9,3380,3
1059,C0,S244,C9,2184,2
1045,C0,S243,C9,1823,9
245,C0,S110,C9,2844,3
1298,C0,S243,C9,2160,29
245,C0,S111,C9,542,1
212,C0,S111,C9,478,2
1053,C0,S243,C9,1836,80
1478,C0,S110,C9,2810,4
596,C0,S179,C3,1115,1
726,C0,S130,C2,1263,151
734,C0,S130,C2,1272,61
430,C0,S130,C2,1265,115
615,C0,S130,C2,1136,7
605,C0,S130,C2,1125,53
606,C0,S130,C2,1126,130
607,C0,S130,C2,1127,162
38,C0,S130,C2,1132,43
291,C0,S130,C2,608,53
611,C0,S130,C2,1131,22
723,C0,S130,C2,1260,10
609,C0,S130,C2,1129,35
612,C0,S130,C2,1133,54
614,C0,S130,C2,1135,40
623,C0,S182,C2,1144,121
625,C0,S182,C2,1146,73
628,C0,S182,C2,1149,21
629,C0,S182,C2,1150,53
627,C0,S182,C2,1148,33
636,C0,S182,C2,1161,52
635,C0,S182,C2,1159,4
633,C0,S42,C4,1155,307
633,C0,S151,C4,1157,16
633,C0,S145,C4,1156,75
650,C0,S182,C2,1180,106
721,C0,S42,C4,1257,30
333,C0,S145,C4,716,29
633,C0,S235,C4,1682,1
719,C0,S42,C4,1253,57
719,C0,S1289,C4,6559,1
720,C0,S42,C4,1255,38
640,C0,S42,C4,1167,24
645,C25,S183,C14,1175,21
646,C26,S183,C14,1176,49
867,C28,S183,C14,1559,227
715,C26,S183,C14,1248,203
869,C26,S183,C14,1562,89
648,C23,S183,C14,1178,95
649,C0,S182,C2,1179,13
652,C28,S183,C14,1182,59
653,C28,S183,C14,1183,33
812,C28,S183,C14,1422,39
655,C29,S183,C14,1185,2
656,C30,S183,C14,1186,3
661,C23,S184,C14,1191,1
667,C24,S183,C14,1197,10
634,C0,S182,C2,1158,1
672,C25,S183,C14,1203,7
674,C33,S183,C14,1205,21
675,C25,S183,C14,1206,11
676,C25,S183,C14,1207,27
682,C25,S183,C14,1214,19
677,C34,S183,C14,1208,96
679,C34,S183,C14,1210,102
680,C34,S183,C14,1211,47
683,C25,S183,C14,1215,25
657,C27,S183,C14,1187,82
686,C25,S183,C14,1218,11
685,C25,S183,C14,1217,29
647,C27,S183,C14,1177,27
695,C30,S183,C14,1228,5
696,C27,S183,C14,1229,31
690,C30,S183,C14,1223,15
681,C34,S183,C14,1212,30
697,C23,S183,C14,1230,137
698,C31,S183,C14,1231,23
699,C31,S183,C14,1232,10
663,C31,S183,C14,1193,1
1446,C23,S183,C14,2641,5
701,C31,S183,C14,1234,4
704,C23,S183,C14,1237,85
707,C33,S183,C14,1240,4
708,C33,S183,C14,1241,16
643,C23,S183,C14,1173,97
46,C0,S42,C4,130,18
633,C0,S146,C4,1166,17
719,C0,S145,C4,1258,15
1535,C0,S130,C2,2958,25
725,C0,S130,C2,1262,36
724,C0,S130,C2,1261,90
727,C0,S130,C2,1264,33
732,C0,S130,C2,1270,44
736,C0,S188,C15,1274,521
736,C0,S189,C15,1275,188
738,C0,S193,C2,1281,546
739,C0,S193,C2,1282,83
781,C0,S193,C2,1369,50
740,C0,S193,C2,1283,8
757,C0,S193,C2,1303,60
787,C0,S193,C2,1375,26
767,C0,S193,C2,1339,15
741,C0,S193,C2,1284,9
742,C0,S193,C2,1285,31
750,C0,S193,C2,1296,40
751,C0,S193,C2,1297,88
759,C35,S197,C7,1306,18
759,C35,S200,C7,1309,7
760,C35,S199,C7,1312,75
759,C35,S198,C7,1307,243
760,C35,S198,C7,1311,209
764,C36,S198,C7,1327,104
836,C37,S198,C7,1501,9
761,C36,S198,C7,1316,387
759,C35,S201,C7,1310,18
759,C35,S199,C7,1308,62
789,C36,S201,C7,1414,6
829,C40,S199,C7,1527,160
761,C36,S199,C7,1317,220
871,C40,S199,C7,1567,31
789,C36,S199,C7,1410,121
829,C40,S198,C7,1467,205
763,C35,S198,C7,1325,56
761,C36,S200,C7,1318,25
859,C38,S197,C7,2766,3
789,C36,S200,C7,1378,9
864,C38,S199,C7,1554,67
824,C37,S199,C7,1455,112
762,C36,S198,C7,1320,148
824,C37,S202,C7,1457,13
837,C37,S198,C7,1490,39
765,C36,S197,C7,1448,27
761,C36,S197,C7,1409,76
873,C42,S198,C7,1571,14
849,C42,S199,C7,1517,7
871,C40,S197,C7,1568,8
829,C40,S197,C7,2753,14
765,C36,S199,C7,1332,131
789,C36,S197,C7,1412,31
833,C39,S199,C7,1480,29
835,C39,S199,C7,2757,8
837,C37,S197,C7,1489,10
864,C38,S198,C7,1553,97
858,C38,S197,C7,1538,3
762,C36,S199,C7,1319,64
762,C36,S200,C7,1322,10
823,C36,S199,C7,1443,99
762,C36,S197,C7,1321,22
762,C36,S201,C7,1323,5
823,C36,S201,C7,1445,9
765,C36,S202,C7,1447,13
858,C38,S199,C7,1537,21
840,C38,S198,C7,1497,19
852,C38,S200,C7,2332,2
764,C36,S199,C7,1328,70
851,C39,S199,C7,2331,5
763,C35,S197,C7,3832,1
764,C36,S202,C7,1329,12
840,C38,S199,C7,2325,10
763,C35,S199,C7,1336,10
766,C35,S198,C7,1338,163
769,C0,S193,C2,1341,51
774,C0,S194,C16,1349,6
777,C0,S196,C16,1358,3
782,C0,S193,C2,1370,169
783,C0,S193,C2,1371,120
784,C0,S193,C2,1372,360
785,C0,S193,C2,1373,26
852,C38,S198,C7,1523,66
833,C39,S198,C7,1477,61
825,C38,S198,C7,1458,36
860,C38,S198,C7,1544,30
833,C39,S202,C7,1525,5
861,C38,S198,C7,1545,21
823,C36,S197,C7,1444,20
831,C37,S198,C7,1471,69
858,C38,S198,C7,1536,61
832,C41,S198,C7,1476,28
790,C0,S193,C2,1380,7
791,C0,S193,C2,1381,16
788,C0,S193,C2,1376,80
795,C0,S193,C2,1385,49
799,C0,S193,C2,1389,150
800,C0,S188,C15,1391,200
802,C0,S188,C15,1398,352
737,C0,S188,C15,1278,34
800,C0,S189,C15,1392,79
804,C0,S188,C15,1403,201
890,C0,S189,C15,1601,6
891,C0,S188,C15,1603,32
886,C0,S188,C15,1591,164
893,C0,S188,C15,1607,36
887,C0,S188,C15,1594,52
885,C0,S188,C15,1588,160
805,C0,S188,C15,1405,131
894,C0,S188,C15,1613,10
895,C0,S188,C15,1615,46
896,C0,S188,C15,1618,16
888,C0,S188,C15,1596,85
890,C0,S188,C15,1599,26
736,C0,S190,C15,1276,16
804,C0,S189,C15,1404,58
802,C0,S189,C15,1397,122
802,C0,S190,C15,1399,12
651,C0,S182,C2,1181,14
859,C38,S198,C7,1542,43
825,C38,S199,C7,1486,32
857,C43,S198,C7,2765,7
824,C37,S200,C7,2744,11
759,C35,S202,C7,4770,5
823,C36,S200,C7,3502,6
829,C40,S202,C7,1526,6
826,C39,S200,C7,1461,5
826,C39,S198,C7,1460,44
826,C39,S199,C7,1459,21
765,C36,S201,C7,1564,9
858,C38,S201,C7,1539,3
871,C40,S198,C7,1566,57
831,C37,S199,C7,1474,21
766,C35,S197,C7,2250,7
859,C38,S202,C7,1541,1
766,C35,S202,C7,4778,2
830,C37,S198,C7,1470,30
807,C26,S183,C14,1415,133
806,C26,S183,C14,1408,191
811,C26,S183,C14,1421,52
668,C27,S183,C14,1198,74
814,C25,S183,C14,1424,4
1278,C0,S259,C10,2135,207
1182,C0,S259,C10,1994,174
687,C25,S183,C14,1219,31
688,C30,S183,C14,1221,8
694,C30,S183,C14,1227,7
817,C34,S183,C14,1430,10
818,C34,S183,C14,1431,22
670,C28,S183,C14,1200,31
657,C27,S184,C14,1437,1
766,C35,S199,C7,1439,85
856,C43,S198,C7,1534,8
763,C35,S201,C7,2274,2
828,C40,S198,C7,1465,13
764,C36,S197,C7,1440,8
764,C36,S200,C7,2248,2
849,C42,S197,C7,1518,2
828,C40,S199,C7,2751,13
855,C43,S199,C7,1530,11
856,C43,S199,C7,1533,9
840,C38,S200,C7,1498,2
761,C36,S201,C7,2267,13
865,C42,S198,C7,1557,5
828,C40,S200,C7,2750,4
849,C42,S198,C7,1519,15
837,C37,S199,C7,1491,15
857,C43,S199,C7,1535,5
848,C41,S198,C7,1515,13
832,C41,S202,C7,6532,2
859,C38,S199,C7,1543,18
836,C37,S199,C7,1487,18
789,C36,S1276,C7,6521,1
832,C41,S199,C7,1514,20
833,C39,S481,C7,7156,1
824,C37,S201,C7,1452,7
829,C40,S200,C7,1468,8
851,C39,S198,C7,1522,6
835,C39,S198,C7,1484,7
834,C40,S202,C7,1483,1
825,C38,S197,C7,1485,12
852,C38,S199,C7,1524,34
852,C38,S197,C7,3816,7
838,C37,S202,C7,1493,1
830,C37,S202,C7,1494,1
631,C0,S182,C2,1153,3
1377,C0,S182,C2,2384,9
336,C0,S145,C4,721,8
336,C0,S221,C4,1505,1
640,C0,S145,C4,1168,5
845,C26,S183,C14,1510,97
846,C34,S183,C14,1511,2
847,C34,S183,C14,1512,81
850,C41,S198,C7,1521,5
850,C41,S201,C7,3547,2
871,C40,S201,C7,3504,5
853,C43,S198,C7,1528,1
861,C38,S199,C7,1547,6
940,C0,S237,C17,1698,2710
864,C38,S200,C7,1555,2
864,C38,S197,C7,3826,8
1466,C43,S198,C7,2764,6
862,C38,S199,C7,4767,5
868,C28,S183,C14,1561,167
831,C37,S197,C7,2328,4
765,C36,S220,C7,4925,1
829,C40,S201,C7,1565,9
764,C36,S201,C7,1330,3
872,C42,S199,C7,1569,7
873,C42,S199,C7,1572,9
1367,C39,S198,C7,2333,5
878,C44,S199,C7,1578,5
864,C38,S202,C7,1582,3
808,C26,S183,C14,1416,40
882,C28,S183,C14,1584,60
884,C0,S189,C15,1586,160
885,C0,S189,C15,1589,48
801,C0,S189,C15,1395,99
886,C0,S189,C15,1592,51
886,C0,S190,C15,1593,6
888,C0,S189,C15,1597,37
884,C0,S801,C15,6481,1
893,C0,S189,C15,1609,18
884,C0,S191,C15,1611,1
895,C0,S190,C15,1617,4
884,C0,S190,C15,1610,6
718,C25,S183,C14,1251,14
895,C0,S189,C15,1616,11
805,C0,S189,C15,1406,24
911,C0,S194,C16,3524,1
758,C0,S194,C16,1367,5
770,C0,S194,C16,1343,30
743,C0,S208,C16,4796,3
930,C0,S231,C16,1678,1
780,C0,S229,C16,5459,3
774,C0,S229,C16,6074,1
931,C0,S194,C16,2318,6
642,C0,S42,C4,1171,6
329,C0,S145,C4,1172,17
942,C0,S237,C17,1704,333
1339,C0,S269,C12,2218,416
941,C0,S237,C17,1702,100
948,C0,S237,C17,1715,374
974,C0,S237,C17,1743,67
1340,C0,S269,C12,2219,1105
943,C0,S237,C17,1705,21
946,C0,S237,C17,1711,298
1341,C0,S269,C12,2222,521
1759,C0,S269,C12,3322,549
1335,C0,S269,C12,2211,616
947,C0,S237,C17,1713,251
1338,C0,S269,C12,2215,1107
720,C0,S145,C4,2413,7
27,C0,S1651,C3,7540,1
333,C0,S146,C4,1503,1
43,C0,S20,C2,127,28
41,C0,S20,C2,125,27
163,C0,S20,C2,1688,6
934,C0,S236,C2,1691,53
935,C0,S236,C2,1692,105
936,C0,S236,C2,1693,21
938,C0,S236,C2,1695,19
940,C0,S237,C18,1700,1
949,C0,S237,C17,1716,15
940,C0,S238,C17,1699,40
1135,C60,S250,C17,1931,266
1759,C0,S272,C12,4064,3
946,C0,S130,C17,5512,1
945,C0,S237,C17,1709,70
950,C0,S237,C17,1717,125
1000,C0,S237,C17,1771,7
952,C0,S44,C2,1720,105
955,C0,S44,C2,1723,33
1790,C0,S44,C2,3365,33
953,C0,S44,C2,1721,102
968,C0,S44,C2,1737,61
624,C0,S182,C2,1145,19
954,C0,S44,C2,1722,11
1644,C63,S461,C2,3191,395
958,C0,S44,C2,1726,33
960,C0,S44,C2,1728,149
961,C0,S44,C2,1729,132
979,C0,S44,C2,1749,41
963,C0,S44,C2,1731,364
999,C0,S237,C17,1769,8
