hosts.host_id,hosts.host_since,hosts.host_response_time,hosts.host_response_rate,hosts.host_neighbourhood,hosts.tf_listings.host_id
7287163,2013,3,100,322,1
2090154,2012,2,100,322,1
33980307,2015,3,100,322,1
27081337,2015,3,100,322,2
7748106,2013,2,100,322,1
43058066,2015,1,100,203,2
40731,2009,2,90,331,3
8852597,2013,2,100,322,3
5617385,2013,2,100,1538,1
42518018,2015,3,100,322,2
54662822,2016,3,100,1049,1
44002119,2015,3,100,322,1
23075467,2014,3,96,560,1
30443058,2015,3,100,322,1
40725954,2015,2,90,322,1
9094538,2013,3,100,895,1
21924626,2014,2,100,322,1
2471877,2012,3,100,322,2
3294051,2012,3,100,1538,1
52911620,2016,3,100,322,1
5176421,2013,2,100,1049,1
45304894,2015,3,100,322,1
27654914,2015,2,100,322,1
11122067,2014,3,100,322,2
99519003,2016,3,100,322,2
51628877,2015,3,100,322,1
46109921,2015,3,80,322,1
90789570,2016,3,100,322,1
45374411,2015,3,100,1538,1
473121,2011,1,63,322,1
845242,2011,2,100,322,1
1838943,2012,2,100,920,1
109023810,2016,3,100,322,1
101055881,2016,3,100,322,1
61097730,2016,3,100,1049,2
18305503,2014,2,100,322,1
1309413,2011,3,100,322,1
58868732,2016,3,90,322,1
9249272,2013,2,100,322,1
61679112,2016,3,100,322,1
28810347,2015,3,100,322,1
8709054,2013,2,100,322,1
48981008,2015,3,100,322,1
2441500,2012,3,100,322,1
35658410,2015,3,100,322,1
70042764,2016,3,100,322,2
11827690,2014,3,100,322,1
17929135,2014,2,100,1538,1
113537364,2017,3,100,322,1
97822545,2016,3,100,322,1
118232209,2017,3,100,322,1
52873868,2015,3,100,322,1
127757327,2017,3,100,322,1
24382398,2014,1,70,322,1
5547803,2013,2,100,1049,1
74157338,2016,3,100,322,1
1597671,2012,3,100,322,2
22038915,2014,3,100,322,1
100072753,2016,3,100,322,1
46496942,2015,3,100,322,1
22446863,2014,3,100,322,1
871911,2011,3,100,322,2
17081557,2014,2,100,322,1
739585,2011,2,100,322,1
73052846,2016,2,100,322,1
18106581,2014,3,100,322,1
31673,2009,3,100,322,1
6200210,2013,3,100,322,1
35412645,2015,3,100,2253,6
95738925,2016,3,100,2253,1
7504910,2013,3,100,2253,1
99521462,2016,3,100,203,1
11108716,2014,3,100,203,2
4228390,2012,1,100,203,1
101395695,2016,3,100,203,1
33004,2009,1,78,331,8
3666952,2012,2,100,331,1
101521,2010,2,94,203,5
20784663,2014,3,100,203,1
15767327,2014,3,100,203,1
15365,2009,1,93,203,2
20490917,2014,3,100,331,1
10323618,2013,3,100,1148,2
110985389,2017,3,100,203,1
12769251,2014,3,100,2136,1
60612758,2016,3,100,331,2
11072965,2014,2,89,203,1
10363033,2013,3,100,331,4
1309731,2011,1,91,331,1
24199588,2014,1,100,203,1
16050115,2014,3,100,203,5
51517273,2015,3,80,203,1
45237292,2015,3,100,331,1
16479196,2014,3,100,895,2
18732858,2014,3,100,203,1
48714748,2015,3,100,203,3
23140590,2014,2,100,203,1
1190842,2011,3,86,203,1
32533323,2015,3,100,203,1
9267871,2013,3,100,203,1
3217364,2012,3,100,203,1
5402236,2013,3,100,331,3
44616775,2015,2,100,203,1
48678475,2015,3,100,331,1
16850046,2014,3,100,203,1
86484053,2016,3,100,331,1
115896160,2017,3,100,203,1
20521416,2014,2,100,203,2
39073382,2015,3,100,203,1
95121863,2016,3,94,203,1
27736437,2015,2,100,203,1
55692255,2016,3,100,203,1
15390297,2014,2,100,203,1
20079282,2014,1,67,203,1
17661665,2014,3,100,331,1
1666599,2012,1,80,203,1
63912106,2016,3,100,203,1
2067035,2012,3,100,331,1
483146,2011,2,93,331,2
5358026,2013,2,100,203,1
66621852,2016,3,100,203,1
45397962,2015,2,91,203,2
3586103,2012,2,100,203,1
33244928,2015,2,100,203,1
62573021,2016,2,100,203,1
100040841,2016,3,100,331,1
1561823,2012,3,100,203,1
81884236,2016,3,100,203,2
6171563,2013,3,100,203,1
100834397,2016,3,100,203,1
51843076,2015,3,100,203,1
76244,2010,3,100,203,1
48875190,2015,3,100,203,1
74336231,2016,3,100,203,1
44951546,2015,2,92,203,1
7485336,2013,2,100,203,1
52704607,2015,3,100,331,3
1630832,2012,3,100,203,1
6696310,2013,3,100,203,1
84493416,2016,3,100,203,1
946954,2011,3,100,203,1
76641557,2016,1,73,203,1
68280856,2016,2,100,203,1
10656654,2013,2,100,203,1
51455804,2015,3,100,814,1
39828960,2015,3,100,859,1
1488999,2011,2,100,807,1
2907254,2012,3,100,1951,21
23504895,2014,3,100,859,1
117318593,2017,3,100,859,1
56861768,2016,3,100,859,2
36962029,2015,3,100,814,1
40214609,2015,2,100,859,1
22220850,2014,3,100,859,3
31235129,2015,3,100,859,1
517499,2011,1,100,859,3
114672515,2017,3,100,859,1
2068758,2012,2,80,859,1
52855427,2015,3,100,859,1
15438417,2014,3,100,859,1
48635928,2015,3,100,859,1
34916049,2015,3,100,859,2
35241159,2015,2,100,859,1
10513357,2013,3,100,859,1
1185573,2011,2,90,859,3
29117197,2015,2,100,859,1
8626951,2013,3,100,859,1
61819983,2016,3,100,859,1
4203707,2012,3,100,859,1
41170685,2015,2,100,859,1
124718132,2017,3,100,859,1
16584100,2014,2,100,491,2
41379963,2015,3,100,859,1
64088997,2016,3,100,859,1
122545577,2017,3,100,814,2
126626690,2017,3,74,859,1
1681963,2012,3,100,859,2
5430630,2013,1,100,859,1
4694379,2013,2,100,859,1
3986873,2012,3,100,895,2
2400107,2012,1,75,859,1
25102494,2014,2,100,859,1
118108330,2017,3,100,859,1
1844352,2012,3,90,170,2
16396473,2014,3,100,457,1
9498517,2013,3,100,1039,2
31113244,2015,3,100,1811,2
118888529,2017,2,100,457,1
16680094,2014,3,100,78,3
34959956,2015,2,92,170,1
5268780,2013,3,100,170,3
1019096,2011,3,100,170,3
5325851,2013,3,100,170,3
4402051,2012,3,100,1039,1
16864162,2014,3,100,457,3
62066342,2016,3,98,274,2
22463933,2014,2,100,170,1
41767444,2015,3,100,170,1
11848299,2014,3,100,457,3
4392069,2012,3,100,457,1
4070322,2012,1,100,170,1
9008718,2013,3,100,170,1
1649647,2012,3,100,457,3
77972775,2016,3,100,457,1
39182446,2015,3,90,457,2
1474170,2011,2,100,1039,1
2445249,2012,1,91,170,1
1413751,2011,3,100,170,2
2655877,2012,1,100,78,1
7019879,2013,3,100,1811,1
19500172,2014,3,100,170,1
2995486,2012,2,100,1039,2
654712,2011,2,100,170,2
1802802,2012,1,80,170,1
5228189,2013,3,100,1811,3
7811123,2013,2,100,1039,1
2575229,2012,1,100,457,1
44183153,2015,3,96,222,4
26201109,2015,3,100,78,1
26164763,2015,2,100,457,1
28811986,2015,1,100,1039,2
14205967,2014,3,100,457,3
2885441,2012,3,100,170,7
72470948,2016,3,100,457,3
5721289,2013,1,93,457,2
38268012,2015,3,100,1039,1
2147257,2012,2,88,170,1
28628238,2015,2,100,457,1
65511228,2016,3,100,170,1
39462823,2015,1,100,1039,2
30812405,2015,3,90,78,1
11101020,2014,1,90,457,1
94216841,2016,3,100,78,1
10613587,2013,2,100,170,3
13237444,2014,5,20,457,1
103220942,2016,3,100,457,1
3531690,2012,1,100,1039,1
4316625,2012,1,78,1811,1
370619,2011,3,100,457,1
28681150,2015,2,100,1039,1
48093605,2015,3,100,1039,2
25261701,2014,3,90,170,1
1600654,2012,1,100,1039,2
64114038,2016,3,100,78,1
935002,2011,1,70,78,1
93042024,2016,3,100,457,1
49403044,2015,3,100,170,5
10837582,2013,1,100,263,1
25167470,2014,3,100,457,2
30277514,2015,3,100,78,1
38186342,2015,3,100,170,1
3046878,2012,3,100,1039,1
1152621,2011,1,100,78,2
2392656,2012,2,100,78,1
74359802,2016,3,100,1039,1
8143455,2013,3,100,170,1
17479714,2014,3,100,78,1
36140345,2015,3,100,78,1
329206,2010,3,100,170,1
6118013,2013,3,96,78,2
1563534,2012,3,100,1039,1
68529496,2016,2,100,170,1
33211956,2015,2,100,457,1
4491318,2012,3,100,78,2
858576,2011,3,100,170,1
29821184,2015,3,96,457,3
1146738,2011,3,80,170,1
41829687,2015,3,100,78,1
32541724,2015,3,100,457,1
2230106,2012,5,40,170,2
34778026,2015,2,100,457,1
726812,2011,3,100,78,1
35969055,2015,1,100,170,1
3999570,2012,2,70,1039,3
2209061,2012,2,100,78,1
11796850,2014,1,86,1039,1
102122150,2016,3,100,457,1
1394351,2011,2,100,457,1
2660940,2012,3,90,170,1
29716517,2015,3,100,1039,1
19874232,2014,3,100,457,1
306726,2010,3,100,170,2
16667747,2014,3,100,1039,1
1139947,2011,3,100,170,3
8819400,2013,3,100,1087,4
126259479,2017,3,100,170,1
47396409,2015,3,100,457,1
39290149,2015,3,100,457,1
1500490,2011,3,100,1039,1
105614748,2016,2,90,1039,1
12973780,2014,3,100,457,1
7066873,2013,2,100,170,2
19051832,2014,3,100,78,1
25794313,2015,3,100,1039,1
27232871,2015,3,100,78,1
1483478,2011,2,100,457,1
15397945,2014,3,86,170,1
863268,2011,3,100,170,1
47109962,2015,3,100,78,1
5186996,2013,3,100,78,1
15619052,2014,3,100,457,2
30226970,2015,2,100,170,1
32410954,2015,1,80,1039,1
1876597,2012,2,100,1811,3
55574851,2016,3,100,78,1
233562,2010,1,100,170,1
37615606,2015,3,100,457,1
104131114,2016,3,100,170,1
21777569,2014,3,100,226,1
80006299,2016,3,100,170,1
20533514,2014,3,100,170,1
31671477,2015,3,100,78,1
54865295,2016,3,100,78,1
2038082,2012,2,78,78,1
34409393,2015,3,100,170,1
89922854,2016,2,100,1039,1
3966036,2012,1,67,457,1
9994679,2013,2,90,2048,1
104110,2010,3,100,457,1
10561872,2013,3,100,170,1
51011055,2015,3,80,78,1
38460169,2015,3,100,78,1
3798956,2012,1,80,170,1
8199544,2013,3,90,170,1
41184665,2015,3,100,170,1
4574795,2013,2,100,457,1
823286,2011,3,100,170,1
2026222,2012,3,100,457,1
62972534,2016,1,100,170,1
107785038,2016,3,100,78,1
41109324,2015,3,100,170,1
34075956,2015,3,100,170,1
103270699,2016,3,100,78,1
3908,2008,3,100,78,1
45828803,2015,3,100,170,1
73361372,2016,3,100,1039,1
76133827,2016,3,100,170,2
31875519,2015,3,100,170,1
531832,2011,2,100,1039,1
12549865,2014,3,100,78,1
45483851,2015,3,100,457,1
97244726,2016,1,90,170,1
31673336,2015,2,100,170,1
100554145,2016,3,100,1039,1
35092958,2015,1,75,170,1
6263183,2013,2,100,1039,1
117463743,2017,3,100,1811,1
99751354,2016,3,90,1039,1
10568152,2013,3,100,457,1
869291,2011,3,100,1039,1
67794898,2016,3,100,78,1
7160641,2013,3,100,170,1
75418503,2016,3,100,1811,1
5878139,2013,2,90,498,2
1777718,2012,2,100,498,1
103890657,2016,3,100,498,1
11162257,2014,3,100,290,2
62825933,2016,1,100,498,1
40338599,2015,3,100,290,1
45277240,2015,1,100,498,1
28183266,2015,2,100,498,1
4887390,2013,3,100,498,1
19704341,2014,3,100,498,2
44515642,2015,3,100,498,1
20559759,2014,3,100,498,3
6216502,2013,2,100,498,2
64991970,2016,3,100,498,1
71659692,2016,2,100,498,1
112561040,2017,1,100,498,1
43389451,2015,1,91,498,4
48082237,2015,3,100,498,2
44508428,2015,3,100,290,1
60128377,2016,3,100,290,2
116841264,2017,3,100,498,1
90644159,2016,3,100,290,1
36897561,2015,3,100,498,2
3828336,2012,3,90,835,3
80518821,2016,3,100,498,2
36567365,2015,3,100,498,1
1187822,2011,1,70,498,1
37141205,2015,2,91,498,1
126991062,2017,3,100,498,4
94706541,2016,3,100,498,1
27506,2009,1,100,290,1
39154185,2015,3,100,290,2
6228429,2013,1,83,498,1
14585449,2014,3,90,498,1
38241112,2015,3,100,498,1
22567515,2014,2,100,498,1
17345747,2015,1,80,498,1
76235130,2016,3,100,290,1
12323199,2014,3,100,498,1
98533193,2016,3,90,290,1
112517843,2017,3,94,498,1
21815643,2014,2,100,290,1
22022871,2014,1,78,498,1
57131868,2016,3,100,498,1
22567195,2014,3,100,498,2
1559709,2012,3,100,498,1
43215257,2015,1,90,290,1
68089316,2016,1,87,498,1
1313038,2011,3,100,498,1
2292204,2012,2,100,498,1
48420470,2015,3,100,290,1
125586056,2017,1,83,498,1
74207440,2016,3,100,498,2
6170479,2013,3,100,498,1
18090274,2014,3,100,498,1
4064919,2012,1,100,498,1
5724085,2013,3,100,498,1
7466666,2013,3,100,498,1
15343214,2014,2,92,498,1
31977444,2015,1,100,290,1
9406905,2013,2,100,498,1
7519116,2013,1,100,498,1
96064608,2016,3,100,498,1
51566645,2015,3,92,498,1
3169140,2012,1,100,498,1
19869324,2014,3,100,498,1
74389960,2016,3,100,498,1
29409792,2015,3,100,290,1
15013308,2014,3,100,498,1
2665289,2012,1,100,498,1
96806677,2016,3,100,290,1
1806982,2012,1,100,290,1
5378058,2013,3,100,498,1
62339334,2016,3,100,498,1
34541879,2015,3,100,290,1
5907266,2013,3,100,290,1
11156252,2016,3,100,498,1
4653633,2013,2,94,498,1
52189096,2015,3,100,290,1
21850309,2014,2,100,498,1
30431390,2015,3,100,498,1
5050949,2013,2,100,498,1
100513321,2016,2,97,233,1
7405220,2013,1,80,290,1
10428313,2013,3,100,290,1
921140,2011,3,100,498,1
61837692,2016,3,100,498,1
19360882,2014,1,79,498,1
8185293,2013,3,100,498,1
504470,2011,3,100,814,1
95021621,2016,3,100,895,1
90128865,2016,3,100,895,2
9427461,2013,3,90,895,1
99856224,2016,3,100,814,1
56334214,2016,2,100,895,1
7304123,2013,3,100,895,1
1222412,2011,3,100,814,1
21246250,2014,1,100,895,1
18021362,2014,3,93,814,2
88317261,2016,3,90,895,1
210954,2010,3,100,814,1
32282337,2015,2,80,895,2
5997132,2013,1,100,895,1
23045306,2014,3,100,895,1
26543301,2015,3,100,814,1
48324178,2015,3,100,895,1
15321714,2014,3,100,895,1
3592548,2012,1,67,895,1
14922630,2014,2,100,895,1
7552580,2013,3,100,814,1
45542882,2015,3,100,895,1
50475013,2015,3,100,814,1
749384,2011,2,100,814,1
36733029,2015,3,100,814,1
1158629,2011,2,100,895,1
46938831,2015,3,100,814,1
8052444,2013,1,90,895,1
2676165,2012,3,100,895,1
37399163,2015,2,100,814,1
44402249,2015,3,100,895,1
1210000,2011,1,100,421,1
969340,2011,3,100,421,1
6835128,2013,2,100,421,1
278430,2010,2,100,421,1
2593972,2012,2,100,421,1
9656976,2013,2,100,421,1
2574669,2012,3,100,421,1
6478864,2013,3,100,421,1
7286995,2013,3,100,421,1
8171478,2013,2,100,421,1
1740838,2012,3,100,367,2
27572615,2015,2,99,224,48
64231857,2016,3,100,779,4
13607446,2014,3,100,550,1
23234040,2014,3,99,224,24
6748447,2013,2,90,550,1
5072677,2013,2,100,876,1
20266901,2014,3,83,550,1
8286088,2013,2,100,876,1
12702653,2014,1,100,822,1
18087394,2014,3,100,1822,5
11674521,2014,3,100,550,1
2598187,2012,3,70,876,1
2318734,2012,3,100,779,1
1959894,2012,2,100,1822,1
18821405,2014,2,95,266,2
3185353,2012,3,100,822,1
4787208,2013,1,100,550,1
26126111,2015,2,100,876,1
8590740,2013,1,100,199,2
12954668,2014,2,100,779,1
546587,2011,3,100,1286,1
34577502,2015,1,70,550,1
3110667,2012,2,100,822,1
2125620,2012,3,99,334,39
21681215,2014,1,96,822,14
17837404,2014,3,100,61,5
1483966,2011,3,100,61,1
104154781,2016,3,100,61,1
1749375,2012,1,90,629,5
20344572,2014,3,100,935,4
116961567,2017,3,100,447,1
11507095,2014,1,67,1032,2
24366999,2014,2,100,224,9
3487048,2012,2,100,687,2
10548134,2013,3,100,1700,3
7258745,2013,3,95,172,8
101037,2010,2,100,635,38
10961046,2014,2,99,635,34
105003602,2016,2,97,61,6
1679730,2012,3,100,1231,6
58828772,2016,3,95,792,6
53339181,2016,2,90,1107,1
42653212,2015,3,100,61,10
28820321,2015,3,100,186,35
2904987,2012,3,100,687,2
33889201,2015,2,98,1238,229
93126621,2016,3,100,635,3
14875410,2014,3,100,224,23
18027936,2014,3,97,224,34
16668725,2014,2,98,1451,32
37669622,2015,5,18,635,12
1480728,2011,3,94,158,2
68496790,2016,2,65,635,12
15131437,2014,3,100,61,3
1674201,2012,3,99,550,26
2634160,2012,3,100,643,6
95860512,2016,3,100,758,2
2036946,2012,3,96,809,5
15411688,2014,2,95,447,12
114482448,2017,3,95,447,4
50392824,2015,3,100,1181,5
2194146,2012,3,90,158,2
2418219,2012,2,88,1231,1
3500914,2012,2,100,158,2
3809876,2012,1,100,812,2
7724171,2013,1,80,61,1
87944041,2016,3,100,158,1
673980,2011,2,100,1209,1
3327423,2012,3,97,130,1
6660073,2013,1,96,655,1
70318004,2016,2,91,687,1
47261763,2015,3,95,447,2
38513233,2015,1,100,447,2
14469339,2014,3,100,687,1
62643360,2016,3,100,687,1
112243582,2017,3,100,497,8
33806046,2015,3,98,812,12
47396091,2015,2,100,1209,1
19857936,2014,3,67,61,3
115304880,2017,3,100,635,1
83930302,2016,3,100,635,1
6718950,2013,3,99,130,2
22140669,2014,2,100,447,1
82436841,2016,3,99,1231,20
72987499,2016,2,100,158,2
13107990,2014,1,70,158,1
1936275,2012,3,100,158,2
78038680,2016,2,100,687,1
24292972,2014,3,100,158,1
44239887,2015,3,100,1231,2
110022736,2017,3,100,158,1
6404411,2013,3,100,639,1
21589205,2014,3,100,293,1
25727709,2015,2,97,1361,21
5436552,2013,3,100,809,2
26392609,2015,3,100,61,1
32689954,2015,1,100,1032,1
48149140,2015,3,100,497,4
72755987,2016,3,100,687,7
92428086,2016,3,94,1451,3
87477373,2016,2,100,687,1
13705087,2014,2,100,687,1
25464871,2015,3,100,158,3
71510316,2016,1,74,1700,10
30961115,2015,1,78,1129,1
99467518,2016,3,100,158,1
49506900,2015,3,100,1216,1
2136577,2012,2,100,32,1
27976439,2015,3,100,447,12
106802728,2016,1,100,158,1
20001519,2014,2,99,523,8
14238741,2014,1,100,1822,3
16894841,2014,2,100,158,1
13895237,2014,2,91,876,1
17660257,2014,3,100,447,2
112868447,2017,2,100,687,6
10522033,2013,3,100,687,13
11131496,2014,2,97,447,1
30400234,2015,3,100,687,1
96649754,2016,3,100,158,1
4322085,2012,3,100,132,4
3658699,2012,3,98,978,3
1602839,2012,3,97,1024,6
99038064,2016,2,92,61,2
27394016,2015,3,100,447,4
87905082,2016,3,90,550,7
15431330,2014,1,100,687,1
96771126,2016,2,100,1209,1
9613475,2013,2,100,1209,1
74081930,2016,3,88,1245,3
1444493,2011,3,98,687,4
481558,2011,2,100,687,2
20411465,2014,1,100,169,1
10570196,2013,3,100,1564,1
50089461,2015,3,90,687,1
102825472,2016,1,100,687,1
109860531,2017,2,100,550,2
63725233,2016,2,100,61,1
1672712,2012,2,67,61,1
86586745,2016,3,97,61,2
60647687,2016,3,100,687,1
7995610,2013,3,100,635,2
20020979,2014,2,88,1032,1
4193798,2012,2,100,447,2
65216928,2016,1,96,302,8
32674548,2015,3,100,1032,4
43917197,2015,2,92,687,1
973599,2011,1,100,687,1
15520532,2014,3,100,61,2
88112967,2016,3,100,61,2
24477549,2014,5,43,687,1
49034164,2015,3,100,158,1
61407694,2016,3,96,64,4
1310077,2011,3,100,812,7
16692784,2014,3,99,511,11
94601540,2016,3,100,687,1
61069026,2016,2,100,169,1
54193142,2016,2,100,687,1
61773264,2016,3,100,687,1
48226558,2015,1,90,1231,1
8279850,2013,2,100,158,2
94932649,2016,1,100,158,1
3627371,2012,2,100,158,1
102127106,2016,3,90,687,1
18240220,2014,1,95,1032,1
78404943,2016,3,91,320,7
88607,2010,3,100,158,3
72704698,2016,1,100,61,1
109981715,2017,3,100,158,1
79959090,2016,3,100,1231,2
34254564,2015,5,0,447,1
90765149,2016,3,100,700,14
4189536,2012,3,100,687,1
39914453,2015,3,93,447,2
83055888,2016,2,100,67,1
11491035,2014,3,100,61,1
507972,2011,2,96,1231,2
92935351,2016,3,100,61,4
15990831,2014,2,91,515,11
77994703,2016,3,100,1209,1
49239029,2015,2,100,447,1
2157755,2012,3,100,812,4
10995170,2014,2,75,687,1
18936886,2014,2,100,61,1
43529585,2015,3,100,550,1
46375189,2015,3,100,158,2
104694071,2016,2,100,61,1
36793979,2015,3,100,158,1
44197592,2015,3,100,687,1
14635774,2014,1,55,61,1
78847694,2016,3,100,158,1
2861602,2012,3,100,1209,1
89161798,2016,3,100,687,1
923968,2011,3,96,635,2
12049206,2014,2,100,687,2
6159405,2013,3,100,158,1
24348500,2014,3,100,1231,1
105449833,2016,3,100,635,2
77455943,2016,2,99,158,7
64961819,2016,3,90,447,1
31738398,2015,2,100,61,2
27319051,2015,3,100,550,1
32500935,2015,3,100,158,1
101335206,2016,2,100,687,1
9388211,2013,3,100,1032,1
88131012,2016,2,100,158,1
83170482,2016,1,63,61,1
3440276,2012,2,100,687,1
10866843,2013,3,99,687,8
27784501,2015,3,100,687,1
4635144,2013,1,82,447,1
102333668,2016,3,100,447,1
33278101,2015,3,100,447,1
31354172,2015,3,100,447,1
6836041,2013,3,100,687,1
19501259,2014,3,100,158,1
49781462,2015,1,100,687,1
34270283,2015,3,100,158,1
47013311,2015,3,100,447,1
106065580,2016,3,92,158,3
30201012,2015,1,100,635,1
2915799,2012,1,76,1209,1
37956341,2015,2,94,158,1
26309155,2015,1,100,1032,1
6923068,2013,3,100,61,1
27098062,2015,3,96,447,1
13449383,2014,2,100,1231,2
59318551,2016,3,100,687,1
8210076,2013,3,100,176,1
9870,2009,2,100,158,1
44103276,2015,2,100,447,4
4004666,2012,2,60,687,1
6291990,2013,1,100,158,1
23708612,2014,3,91,372,3
93986258,2016,3,100,158,1
98021013,2016,3,100,158,1
1810970,2012,3,100,447,1
24409973,2014,2,89,447,3
66408189,2016,2,100,876,1
17679198,2014,3,100,1032,1
43686075,2015,3,100,61,1
5848499,2013,3,100,365,1
83031930,2016,3,90,61,1
32052162,2015,2,100,61,1
15710488,2014,2,100,158,1
54301513,2016,2,96,447,1
43202308,2015,3,100,61,2
110329239,2017,3,100,687,1
50982650,2015,3,100,687,1
60401252,2016,3,100,956,1
5330829,2013,3,100,158,1
832874,2011,1,100,1032,1
15073622,2014,3,97,934,1
1545639,2011,1,90,158,1
13232401,2014,3,100,1032,1
25037498,2014,2,100,935,1
6696333,2013,1,86,61,1
46105912,2015,2,100,61,1
4544731,2013,2,100,1032,1
94746015,2016,3,100,1032,1
9568877,2013,3,100,1032,1
83038086,2016,1,100,447,1
59755459,2016,3,100,687,1
59320696,2016,3,100,447,1
40815832,2015,3,100,447,1
19400724,2014,2,100,687,1
47237234,2015,3,100,687,1
1251427,2011,3,100,1231,1
22044382,2014,1,100,687,1
675616,2011,1,100,158,1
761400,2011,3,100,1209,1
57859645,2016,3,100,687,1
10301575,2013,2,98,580,2
6926556,2013,1,96,61,2
20219486,2014,3,100,1462,3
32972490,2015,1,100,1209,1
91659325,2016,1,80,158,1
11799093,2014,1,80,158,1
19336279,2014,3,100,1032,1
15603329,2014,3,100,687,1
1796536,2012,2,82,130,2
115314343,2017,3,100,447,1
2490448,2012,2,87,61,1
8856436,2013,3,100,61,1
34617490,2015,1,100,687,1
7057581,2013,1,86,158,1
82624847,2016,2,100,158,1
2915698,2012,3,100,158,1
93999523,2016,3,100,876,2
1528944,2011,2,100,158,1
16490987,2014,3,100,447,1
